partition,planner,profile_id,metric,estimate,ci_low,ci_high,n_layouts
discovery,dwa,delay_050,success,0.05,0.0,0.15,20
discovery,dwa,delay_100,success,0.05,0.0,0.15,20
discovery,dwa,delay_200,success,0.0,0.0,0.0,20
discovery,dwa,e0,success,0.05,0.0,0.15,20
discovery,dwa,tau_w_100,success,0.05,0.0,0.15,20
discovery,dwa,tau_w_300,success,0.15,0.0,0.3,20
discovery,dwa,tau_x_100,success,0.1,0.0,0.25,20
discovery,dwa,tau_x_300,success,0.1,0.0,0.25,20
discovery,dwa,tau_y_150,success,0.3,0.1,0.5,20
discovery,dwa,tau_y_300,success,0.15,0.0,0.3,20
discovery,dwa,tau_y_500,success,0.1,0.0,0.25,20
discovery,teb,delay_050,success,0.95,0.85,1.0,20
discovery,teb,delay_100,success,0.95,0.85,1.0,20
discovery,teb,delay_200,success,0.8,0.6,0.95,20
discovery,teb,e0,success,0.9,0.75,1.0,20
discovery,teb,tau_w_100,success,0.9,0.75,1.0,20
discovery,teb,tau_w_300,success,0.9,0.75,1.0,20
discovery,teb,tau_x_100,success,0.95,0.85,1.0,20
discovery,teb,tau_x_300,success,0.85,0.7,1.0,20
discovery,teb,tau_y_150,success,0.9,0.75,1.0,20
discovery,teb,tau_y_300,success,0.9,0.75,1.0,20
discovery,teb,tau_y_500,success,0.8,0.6,0.95,20
holdout,dwa,delay_050,success,0.0,0.0,0.0,20
holdout,dwa,delay_100,success,0.1,0.0,0.25,20
holdout,dwa,delay_200,success,0.0,0.0,0.0,20
holdout,dwa,e0,success,0.0,0.0,0.0,20
holdout,dwa,tau_w_100,success,0.0,0.0,0.0,20
holdout,dwa,tau_w_300,success,0.05,0.0,0.15,20
holdout,dwa,tau_x_100,success,0.0,0.0,0.0,20
holdout,dwa,tau_x_300,success,0.0,0.0,0.0,20
holdout,dwa,tau_y_150,success,0.3,0.1,0.5,20
holdout,dwa,tau_y_300,success,0.0,0.0,0.0,20
holdout,dwa,tau_y_500,success,0.0,0.0,0.0,20
holdout,teb,delay_050,success,0.9,0.75,1.0,20
holdout,teb,delay_100,success,0.9,0.75,1.0,20
holdout,teb,delay_200,success,0.8,0.6,0.95,20
holdout,teb,e0,success,0.9,0.75,1.0,20
holdout,teb,tau_w_100,success,0.9,0.75,1.0,20
holdout,teb,tau_w_300,success,0.9,0.75,1.0,20
holdout,teb,tau_x_100,success,0.9,0.75,1.0,20
holdout,teb,tau_x_300,success,0.9,0.75,1.0,20
holdout,teb,tau_y_150,success,0.9,0.75,1.0,20
holdout,teb,tau_y_300,success,0.8,0.6,0.95,20
holdout,teb,tau_y_500,success,0.75,0.55,0.9,20
