schedule_index,episode_id,partition,layout_id,planner,profile_id,lock_hash,valid,success,reason,raw_reason,collision,planner_failures,planner_calls,execution_steps,final_xy_error,final_yaw_error,final_time,capped_time_to_termination,path_length,min_clearance,compute_mean,compute_max,time_contract,feedback_contract,command_hold_contract,collision_truth_contract
1,holdout__holdout_10__dwa__delay_100,holdout,holdout_10,dwa,delay_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.799886964378005,0.05644748660638437,30.00000000000189,30.00000000000189,0.10753009517542378,0.7779891198459765,0.0009113226249999995,0.004453419,true,true,true,true
2,discovery__discovery_13__teb__tau_x_300,discovery,discovery_13,teb,tau_x_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,257,1285,0.0760942101690338,0.0972514491876197,12.84999999999977,12.84999999999977,5.495224413601628,0.1843420849845117,0.009908106186770434,0.026999317,true,true,true,true
3,holdout__holdout_19__teb__tau_y_300,holdout,holdout_19,teb,tau_y_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,306,1526,0.07956585574166601,0.029458246629854454,15.25999999999972,15.25999999999972,5.9093543854869,0.16084995977580188,0.009888945013071904,0.034050414,true,true,true,true
4,discovery__discovery_15__teb__tau_x_300,discovery,discovery_15,teb,tau_x_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,296,1476,0.0769831085409217,0.06440816754546187,14.75999999999973,14.75999999999973,6.1384365250347335,0.15419910264437392,0.011427337172297308,0.034933364,true,true,true,true
5,holdout__holdout_15__teb__tau_w_300,holdout,holdout_15,teb,tau_w_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,343,1715,0.047048816324422475,0.09886454053908582,17.14999999999988,17.14999999999988,4.98278890388189,0.21752390208821834,0.009581040172011666,0.032199575,true,true,true,true
6,holdout__holdout_08__teb__tau_x_100,holdout,holdout_08,teb,tau_x_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,269,1342,0.0646186111953565,0.09581093841634572,13.419999999999758,13.419999999999758,5.930015639541183,0.1650549084086197,0.010932641420074348,0.029720065,true,true,true,true
7,discovery__discovery_09__dwa__tau_w_300,discovery,discovery_09,dwa,tau_w_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,3.666297460407461,0.5648730104148693,30.00000000000189,30.00000000000189,1.7719955636256632,0.23656416596860178,0.0023925446566666663,0.016865047,true,true,true,true
8,holdout__holdout_20__teb__delay_100,holdout,holdout_20,teb,delay_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,278,1387,0.06037838476051996,0.09441698691580144,13.869999999999749,13.869999999999749,5.381624848507688,0.15102528864462872,0.010341284748201444,0.031778226,true,true,true,true
9,holdout__holdout_18__dwa__tau_w_100,holdout,holdout_18,dwa,tau_w_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.750198638426072,0.016104288848908594,30.00000000000189,30.00000000000189,0.37930497239196737,0.4060008785031556,0.0016040530549999992,0.005024369,true,true,true,true
10,discovery__discovery_11__teb__tau_w_300,discovery,discovery_11,teb,tau_w_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,464,2320,0.021936218295769232,0.09888634712212323,23.200000000000827,23.200000000000827,5.863622437878125,0.08090757066181636,0.011240098646551728,0.036032206,true,true,true,true
11,holdout__holdout_13__dwa__delay_050,holdout,holdout_13,dwa,delay_050,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,32,160,4.789388221964771,0.03296052641235291,1.6000000000000012,1.6000000000000012,0.060793762754946544,0.7141127313695449,0.0012875610000000002,0.002211915,true,true,true,true
12,discovery__discovery_15__dwa__delay_200,discovery,discovery_15,dwa,delay_200,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,116,580,4.031500554298267,0.6448026034049571,5.799999999999921,5.799999999999921,1.3922183820054956,0.1565577008093122,0.004364237188034189,0.016030867,true,true,true,true
13,discovery__discovery_10__teb__tau_y_150,discovery,discovery_10,teb,tau_y_150,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,291,1451,0.0785406460311575,0.023713829797752,14.509999999999735,14.509999999999735,6.168101119644033,0.12330432713430425,0.009535865254295528,0.031488499,true,true,true,true
14,holdout__holdout_02__dwa__tau_x_300,holdout,holdout_02,dwa,tau_x_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.7987983755832255,0.06059223231982813,30.00000000000189,30.00000000000189,0.08880162185125437,1.395372006279701,0.0010379118249999983,0.005098269,true,true,true,true
15,holdout__holdout_02__teb__tau_y_300,holdout,holdout_02,teb,tau_y_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,355,1773,0.07974626167882176,0.08816966610984629,17.729999999999972,17.729999999999972,6.088419908686212,0.0570948180817622,0.008796943580281689,0.03107173,true,true,true,true
16,holdout__holdout_17__dwa__delay_100,holdout,holdout_17,dwa,delay_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.799886964378005,0.05644748660638437,30.00000000000189,30.00000000000189,0.10753009517542378,0.3647369699700279,0.0009570625583333328,0.00388839,true,true,true,true
17,holdout__holdout_06__dwa__delay_050,holdout,holdout_06,dwa,delay_050,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,32,160,4.789388221964771,0.03296052641235291,1.6000000000000012,1.6000000000000012,0.060793762754946544,0.7454999999999998,0.0022619347575757575,0.005347381,true,true,true,true
18,discovery__discovery_06__teb__tau_y_300,discovery,discovery_06,teb,tau_y_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,342,1706,0.026325424011185615,0.09613366625936413,17.059999999999867,17.059999999999867,6.634754150945979,0.18090760651923,0.011974316476608191,0.033229955,true,true,true,true
19,discovery__discovery_03__dwa__tau_x_100,discovery,discovery_03,dwa,tau_x_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.797483142941365,0.17249995505462704,30.00000000000189,30.00000000000189,0.08024138001756845,0.5767083318281437,0.0009815211683333344,0.006404808,true,true,true,true
20,holdout__holdout_11__dwa__delay_100,holdout,holdout_11,dwa,delay_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,plugin returned no valid velocity command,plugin returned no valid velocity command,false,1,407,2035,2.2344273959556475,0.9112497322261848,20.35000000000038,20.35000000000038,2.7449775636456004,0.05410103591295614,0.00285161681617647,0.016448932,true,true,true,true
21,holdout__holdout_10__teb__delay_100,holdout,holdout_10,teb,delay_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,287,1435,0.0789561834827328,0.09388776194269702,14.349999999999739,14.349999999999739,5.548080260972119,0.14677238293837433,0.009038942999999999,0.027988953,true,true,true,true
22,discovery__discovery_04__dwa__tau_y_500,discovery,discovery_04,dwa,tau_y_500,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,3.385950773140329,0.9015791173325791,30.00000000000189,30.00000000000189,1.9811704136325994,0.11274412537007457,0.0025972414650000004,0.021112401,true,true,true,true
23,discovery__discovery_09__dwa__tau_w_100,discovery,discovery_09,dwa,tau_w_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.79937960160367,0.1284129193457563,30.00000000000189,30.00000000000189,0.10350131892526561,0.45974428749575247,0.0009803380383333333,0.003767569,true,true,true,true
24,holdout__holdout_03__teb__tau_y_300,holdout,holdout_03,teb,tau_y_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,286,1428,0.07953127435978849,0.08656878489981068,14.27999999999974,14.27999999999974,5.3475900640984575,0.1416487393030169,0.008616238996503489,0.028451067,true,true,true,true
25,holdout__holdout_06__dwa__e0,holdout,holdout_06,dwa,e0,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.750728787406146,0.002960665189466522,30.00000000000189,30.00000000000189,0.29686420154556653,0.7454999999999998,0.0015166753866666667,0.008725415,true,true,true,true
26,holdout__holdout_15__teb__e0,holdout,holdout_15,teb,e0,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,222,1108,0.07625316366816433,0.09801373641756882,11.079999999999808,11.079999999999808,4.965196530622168,0.23047069839367157,0.010237168675675683,0.031636483,true,true,true,true
27,discovery__discovery_14__teb__e0,discovery,discovery_14,teb,e0,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,226,1128,0.07842503001779307,0.06642071524030958,11.279999999999804,11.279999999999804,5.18419192804656,0.06559892844010878,0.008720836876106192,0.02783887,true,true,true,true
28,holdout__holdout_10__dwa__tau_w_100,holdout,holdout_10,dwa,tau_w_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.79937960160367,0.1284129193457563,30.00000000000189,30.00000000000189,0.10350131892526561,0.7814040130114593,0.0012677635716666668,0.004661258,true,true,true,true
29,holdout__holdout_02__teb__tau_x_100,holdout,holdout_02,teb,tau_x_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,258,1288,0.06687095420934973,0.09909277784469593,12.87999999999977,12.87999999999977,5.738083438711129,0.06416072092652059,0.010936786096899232,0.033106471,true,true,true,true
30,holdout__holdout_06__teb__tau_x_100,holdout,holdout_06,teb,tau_x_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,270,1350,0.04909383807687167,0.09719963466632349,13.499999999999757,13.499999999999757,5.906877435682108,0.1217122142379937,0.012154228829629635,0.035915916,true,true,true,true
31,discovery__discovery_17__dwa__tau_x_100,discovery,discovery_17,dwa,tau_x_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.797483142941365,0.17249995505462704,30.00000000000189,30.00000000000189,0.08024138001756845,1.4699377881288886,0.0014791475133333319,0.004603302,true,true,true,true
32,discovery__discovery_06__dwa__tau_w_300,discovery,discovery_06,dwa,tau_w_300,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,0.5075155437790944,2.490085870565169,30.00000000000189,30.00000000000189,6.751955661632554,0.03412135663537698,0.004324852066666668,0.019537534,true,true,true,true
33,holdout__holdout_14__dwa__e0,holdout,holdout_14,dwa,e0,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.800342967782957,0.05052643037205333,30.00000000000189,30.00000000000189,0.08043681154258775,0.6966043696988299,0.0013938360833333323,0.004802878,true,true,true,true
34,discovery__discovery_12__dwa__delay_200,discovery,discovery_12,dwa,delay_200,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.798693959698342,0.10914475896004373,30.00000000000189,30.00000000000189,0.11073616392538553,0.7642902261488295,0.001288858496666666,0.004690989,true,true,true,true
35,discovery__discovery_01__teb__tau_y_150,discovery,discovery_01,teb,tau_y_150,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,267,1334,0.03433436017487294,0.09948514018072449,13.33999999999976,13.33999999999976,5.512201808352739,0.03417137066956233,0.00855134831460674,0.029915839,true,true,true,true
36,holdout__holdout_05__dwa__e0,holdout,holdout_05,dwa,e0,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.800342967782957,0.05052643037205333,30.00000000000189,30.00000000000189,0.08043681154258775,0.9210500412375878,0.001595683295,0.006088685,true,true,true,true
37,holdout__holdout_13__dwa__delay_100,holdout,holdout_13,dwa,delay_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,517,2585,0.07933680640947587,0.06893695954500331,25.85000000000124,25.85000000000124,5.131759102488289,0.05024248027644647,0.003469942765957448,0.017182442,true,true,true,true
38,holdout__holdout_05__dwa__delay_050,holdout,holdout_05,dwa,delay_050,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.800409713394666,0.05368432774527802,30.00000000000189,30.00000000000189,0.10330025774373841,0.9210500412375878,0.001425504068333334,0.004554716,true,true,true,true
39,discovery__discovery_20__dwa__e0,discovery,discovery_20,dwa,e0,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.750728787406146,0.002960665189466522,30.00000000000189,30.00000000000189,0.29686420154556653,0.6011354567806844,0.0014797655600000002,0.009444142,true,true,true,true
40,holdout__holdout_17__dwa__tau_y_150,holdout,holdout_17,dwa,tau_y_150,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,2.6255988761402587,0.9286636412045788,30.00000000000189,30.00000000000189,2.856385644144798,0.09018968475690524,0.002972462796666669,0.017968735,true,true,true,true
41,discovery__discovery_02__teb__tau_w_100,discovery,discovery_02,teb,tau_w_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,242,1206,0.0331034105372891,0.09968102152381875,12.059999999999787,12.059999999999787,5.217502132380019,0.13846707687165077,0.009569117590909093,0.028102093,true,true,true,true
42,discovery__discovery_02__teb__delay_200,discovery,discovery_02,teb,delay_200,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,true,external_tolerance,external_tolerance,false,0,355,1774,0.056014837058700535,0.09856855136160339,17.739999999999974,17.739999999999974,5.594514204300685,0.09249934595366717,0.010030208892957755,0.028473565,true,true,true,true
43,discovery__discovery_08__dwa__tau_x_100,discovery,discovery_08,dwa,tau_x_100,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.797483142941365,0.17249995505462704,30.00000000000189,30.00000000000189,0.08024138001756845,0.7417969649864018,0.0012887388466666695,0.007029403,true,true,true,true
44,discovery__discovery_13__dwa__delay_050,discovery,discovery_13,dwa,delay_050,f1c8fd861651f70500a8a3341a4fd79820a6f66c02609af9d8137fd2b70d947b,true,false,logical_timeout,duration,false,0,600,3000,4.6481919376168515,0.7612495497893447,30.00000000000189,30.00000000000189,0.7099289120709465,0.31788852870268336,0.0024813882466666686,0.013405824,true,true,true,true
