partition,profile_id,metric,contrast,estimate,ci_low,ci_high,n_layouts
discovery,delay_050,success,TEB-minus-DWA degradation,0.05,0.0,0.15,20
discovery,delay_050,collision,TEB-minus-DWA degradation,0.0,0.0,0.0,20
discovery,delay_050,timeout,TEB-minus-DWA degradation,0.45,0.25,0.65,20
discovery,delay_050,planner_failure,TEB-minus-DWA degradation,-0.5,-0.7,-0.3,20
discovery,delay_050,capped_time_to_termination,TEB-minus-DWA degradation,12.187500000000751,6.5439750000004535,18.1162375000012,20
discovery,delay_050,path_length,TEB-minus-DWA degradation,0.23464912701310364,-0.1575621475794882,0.6923464854941417,20
discovery,delay_050,min_clearance,TEB-minus-DWA degradation,0.002918819430457646,-0.033189242036899755,0.05262741927970349,20
discovery,delay_050,final_xy_error,TEB-minus-DWA degradation,-0.057867445265581484,-0.41238625534239853,0.2422337648215125,20
discovery,delay_100,success,TEB-minus-DWA degradation,0.05,-0.1,0.2,20
discovery,delay_100,collision,TEB-minus-DWA degradation,0.05,0.0,0.15,20
discovery,delay_100,timeout,TEB-minus-DWA degradation,0.45,0.25,0.65,20
discovery,delay_100,planner_failure,TEB-minus-DWA degradation,-0.55,-0.75,-0.35,20
discovery,delay_100,capped_time_to_termination,TEB-minus-DWA degradation,12.41250000000086,8.185387500000676,16.99477500000134,20
discovery,delay_100,path_length,TEB-minus-DWA degradation,0.15450447735152634,-0.6924085302758258,1.075996476298478,20
discovery,delay_100,min_clearance,TEB-minus-DWA degradation,-0.004688098317293578,-0.1454212694260771,0.13834749490002393,20
discovery,delay_100,final_xy_error,TEB-minus-DWA degradation,0.18680561844688026,-0.6098870479077845,0.9038102863658038,20
discovery,delay_200,success,TEB-minus-DWA degradation,-0.05,-0.2,0.1,20
discovery,delay_200,collision,TEB-minus-DWA degradation,0.05,0.0,0.15,20
discovery,delay_200,timeout,TEB-minus-DWA degradation,0.35,0.15,0.55,20
discovery,delay_200,planner_failure,TEB-minus-DWA degradation,-0.35,-0.65,-0.05,20
discovery,delay_200,capped_time_to_termination,TEB-minus-DWA degradation,13.09800000000105,8.106925000000718,18.358500000001413,20
discovery,delay_200,path_length,TEB-minus-DWA degradation,-0.5393233260305814,-1.4554426062304775,0.29720089054213605,20
discovery,delay_200,min_clearance,TEB-minus-DWA degradation,0.024213820594216524,-0.09829150097219322,0.1542394911828889,20
discovery,delay_200,final_xy_error,TEB-minus-DWA degradation,0.8185971535630692,0.07898843019317073,1.6050482244171627,20
discovery,tau_w_100,success,TEB-minus-DWA degradation,0.0,0.0,0.0,20
discovery,tau_w_100,collision,TEB-minus-DWA degradation,0.05,0.0,0.15,20
discovery,tau_w_100,timeout,TEB-minus-DWA degradation,-0.05,-0.15,0.0,20
discovery,tau_w_100,planner_failure,TEB-minus-DWA degradation,0.0,0.0,0.0,20
discovery,tau_w_100,capped_time_to_termination,TEB-minus-DWA degradation,0.8379999999999169,0.04644999999978381,1.4250124999999854,20
discovery,tau_w_100,path_length,TEB-minus-DWA degradation,-0.051088310001158856,-0.3513136282570759,0.19259957836067856,20
discovery,tau_w_100,min_clearance,TEB-minus-DWA degradation,-0.010594336104129968,-0.09021333292480688,0.05638297308065743,20
discovery,tau_w_100,final_xy_error,TEB-minus-DWA degradation,0.02325582848038993,-0.1435469368698529,0.2376529137813458,20
discovery,tau_w_300,success,TEB-minus-DWA degradation,-0.1,-0.25,0.0,20
discovery,tau_w_300,collision,TEB-minus-DWA degradation,0.0,0.0,0.0,20
discovery,tau_w_300,timeout,TEB-minus-DWA degradation,0.1,0.0,0.25,20
discovery,tau_w_300,planner_failure,TEB-minus-DWA degradation,0.0,0.0,0.0,20
discovery,tau_w_300,capped_time_to_termination,TEB-minus-DWA degradation,7.49200000000062,5.367825000000464,10.228037500000864,20
discovery,tau_w_300,path_length,TEB-minus-DWA degradation,-2.1538527895863533,-3.0685914619236603,-1.2612591881276631,20
discovery,tau_w_300,min_clearance,TEB-minus-DWA degradation,0.2818596751636454,0.12264946467129625,0.4428304562889109,20
discovery,tau_w_300,final_xy_error,TEB-minus-DWA degradation,1.6940549017739575,1.024955284617635,2.3991553570885027,20
discovery,tau_x_100,success,TEB-minus-DWA degradation,0.0,-0.15,0.15,20
discovery,tau_x_100,collision,TEB-minus-DWA degradation,0.05,0.0,0.15,20
discovery,tau_x_100,timeout,TEB-minus-DWA degradation,0.0,-0.15,0.15,20
discovery,tau_x_100,planner_failure,TEB-minus-DWA degradation,-0.05,-0.15,0.0,20
discovery,tau_x_100,capped_time_to_termination,TEB-minus-DWA degradation,0.40549999999992903,-0.7810125000001868,1.585012499999974,20
discovery,tau_x_100,path_length,TEB-minus-DWA degradation,0.06692393941718935,-0.6985682639991495,0.6963764201246667,20
discovery,tau_x_100,min_clearance,TEB-minus-DWA degradation,-0.009989717766260332,-0.0922171131295312,0.06776539083169854,20
discovery,tau_x_100,final_xy_error,TEB-minus-DWA degradation,0.04956723835576188,-0.42166531488588443,0.6705522969890645,20
discovery,tau_x_300,success,TEB-minus-DWA degradation,-0.1,-0.3,0.0,20
discovery,tau_x_300,collision,TEB-minus-DWA degradation,0.05,0.0,0.15,20
discovery,tau_x_300,timeout,TEB-minus-DWA degradation,0.0,-0.15,0.15,20
discovery,tau_x_300,planner_failure,TEB-minus-DWA degradation,0.05,0.0,0.15,20
discovery,tau_x_300,capped_time_to_termination,TEB-minus-DWA degradation,1.0959999999999943,-0.2310000000001736,2.2440500000000525,20
discovery,tau_x_300,path_length,TEB-minus-DWA degradation,-0.5041942582289296,-1.6944831327136431,0.3875035637585922,20
discovery,tau_x_300,min_clearance,TEB-minus-DWA degradation,-0.029148496276314516,-0.11001185981620966,0.047151919067269545,20
discovery,tau_x_300,final_xy_error,TEB-minus-DWA degradation,0.572470252663396,-0.08897609773222409,1.5619903298447166,20
discovery,tau_y_150,success,TEB-minus-DWA degradation,-0.25,-0.45,-0.1,20
discovery,tau_y_150,collision,TEB-minus-DWA degradation,0.05,0.0,0.15,20
discovery,tau_y_150,timeout,TEB-minus-DWA degradation,0.2,0.0,0.4,20
discovery,tau_y_150,planner_failure,TEB-minus-DWA degradation,0.0,0.0,0.0,20
discovery,tau_y_150,capped_time_to_termination,TEB-minus-DWA degradation,3.6835000000004086,1.1014250000000312,6.4810125000008325,20
discovery,tau_y_150,path_length,TEB-minus-DWA degradation,-2.255969261324286,-3.1290802873513726,-1.4350988738065609,20
discovery,tau_y_150,min_clearance,TEB-minus-DWA degradation,0.30150328853309105,0.16112298711648299,0.4542106927426708,20
discovery,tau_y_150,final_xy_error,TEB-minus-DWA degradation,2.0006199705906553,1.2603424012687117,2.7533376833809804,20
discovery,tau_y_300,success,TEB-minus-DWA degradation,-0.1,-0.35,0.1,20
discovery,tau_y_300,collision,TEB-minus-DWA degradation,0.05,0.0,0.15,20
discovery,tau_y_300,timeout,TEB-minus-DWA degradation,0.05,-0.1,0.25,20
discovery,tau_y_300,planner_failure,TEB-minus-DWA degradation,0.0,-0.15,0.15,20
