partition,planner,profile_id,metric,estimate,ci_low,ci_high,n_layouts
discovery,dwa,delay_050,success,0.0,0.0,0.0,20
discovery,dwa,delay_050,collision,0.0,0.0,0.0,20
discovery,dwa,delay_050,timeout,-0.45,-0.65,-0.25,20
discovery,dwa,delay_050,planner_failure,0.45,0.25,0.65,20
discovery,dwa,delay_050,capped_time_to_termination,-10.77600000000077,-16.947587500001116,-4.9935000000003855,20
discovery,dwa,delay_050,path_length,-0.020030321325806056,-0.20778808497260876,0.2542616732450299,20
discovery,dwa,delay_050,min_clearance,-0.006822028429416355,-0.05524310652044654,0.024124961303558363,20
discovery,dwa,delay_050,final_xy_error,-0.08034785008862408,-0.2599878669627776,0.016908819435933056,20
discovery,dwa,delay_100,success,0.0,-0.15,0.15,20
discovery,dwa,delay_100,collision,-0.05,-0.15,0.0,20
discovery,dwa,delay_100,timeout,-0.45,-0.65,-0.25,20
discovery,dwa,delay_100,planner_failure,0.5,0.3,0.7,20
discovery,dwa,delay_100,capped_time_to_termination,-9.37950000000082,-14.03913750000106,-5.032425000000531,20
discovery,dwa,delay_100,path_length,0.10961025967799035,-0.7916115929662846,0.8950450451018528,20
discovery,dwa,delay_100,min_clearance,-0.010066811885174234,-0.15069777448214075,0.13003829902041072,20
discovery,dwa,delay_100,final_xy_error,-0.32272776156941385,-1.0178081540075825,0.38281056189515517,20
discovery,dwa,delay_200,success,-0.05,-0.15,0.0,20
discovery,dwa,delay_200,collision,-0.05,-0.15,0.0,20
discovery,dwa,delay_200,timeout,-0.35,-0.55,-0.15,20
discovery,dwa,delay_200,planner_failure,0.45,0.25,0.65,20
discovery,dwa,delay_200,capped_time_to_termination,-7.42200000000058,-12.179275000000864,-3.17487500000029,20
discovery,dwa,delay_200,path_length,0.4656498608281659,-0.2907557305199018,1.335305819096255,20
discovery,dwa,delay_200,min_clearance,-0.07063431006279469,-0.20626099253679753,0.051961076446766216,20
discovery,dwa,delay_200,final_xy_error,-0.5647769298033113,-1.3541710686869315,0.12685838087513063,20
discovery,dwa,tau_w_100,success,0.0,0.0,0.0,20
discovery,dwa,tau_w_100,collision,-0.05,-0.15,0.0,20
discovery,dwa,tau_w_100,timeout,0.05,0.0,0.15,20
discovery,dwa,tau_w_100,planner_failure,0.0,0.0,0.0,20
discovery,dwa,tau_w_100,capped_time_to_termination,0.4495000000000703,0.0,1.3485000000002108,20
discovery,dwa,tau_w_100,path_length,0.03518560821421933,-0.21742025671572696,0.3357099961240469,20
discovery,dwa,tau_w_100,min_clearance,0.013202372030320486,-0.05171033250997831,0.09164899932473716,20
discovery,dwa,tau_w_100,final_xy_error,-0.024269782506948844,-0.23676795691772567,0.14287707738681465,20
discovery,dwa,tau_w_300,success,0.1,0.0,0.25,20
discovery,dwa,tau_w_300,collision,0.0,0.0,0.0,20
discovery,dwa,tau_w_300,timeout,-0.1,-0.25,0.0,20
discovery,dwa,tau_w_300,planner_failure,0.0,0.0,0.0,20
discovery,dwa,tau_w_300,capped_time_to_termination,-0.8825000000000511,-2.6335625000001506,0.16300000000002549,20
discovery,dwa,tau_w_300,path_length,2.1248744816324927,1.2390067062294925,3.0450424206838096,20
discovery,dwa,tau_w_300,min_clearance,-0.29879812601893035,-0.4599069204879946,-0.1442813219719028,20
discovery,dwa,tau_w_300,final_xy_error,-1.698396303185044,-2.4010186417802206,-1.0501101233771932,20
discovery,dwa,tau_x_100,success,0.05,0.0,0.15,20
discovery,dwa,tau_x_100,collision,-0.05,-0.15,0.0,20
discovery,dwa,tau_x_100,timeout,0.0,-0.15,0.15,20
discovery,dwa,tau_x_100,planner_failure,0.0,0.0,0.0,20
discovery,dwa,tau_x_100,capped_time_to_termination,0.3510000000000549,-0.13200000000002063,1.190000000000186,20
discovery,dwa,tau_x_100,path_length,0.14020831095209632,-0.30830310797205557,0.8368369865297183,20
discovery,dwa,tau_x_100,min_clearance,0.013961784672040633,-0.06114023883601007,0.09417726120204797,20
discovery,dwa,tau_x_100,final_xy_error,-0.17468108837531532,-0.6998852227623963,0.14385912208028262,20
discovery,dwa,tau_x_300,success,0.05,0.0,0.15,20
discovery,dwa,tau_x_300,collision,-0.05,-0.15,0.0,20
discovery,dwa,tau_x_300,timeout,0.0,-0.15,0.15,20
discovery,dwa,tau_x_300,planner_failure,0.0,0.0,0.0,20
discovery,dwa,tau_x_300,capped_time_to_termination,0.5100000000000797,-0.6240000000000976,2.0145000000003153,20
discovery,dwa,tau_x_300,path_length,0.41087334999476255,-0.19969478356555032,1.255509524641034,20
discovery,dwa,tau_x_300,min_clearance,0.027971968245496914,-0.04815155412149697,0.11412812918775482,20
discovery,dwa,tau_x_300,final_xy_error,-0.32549237251001845,-0.9332070615754406,0.11613899738820906,20
discovery,dwa,tau_y_150,success,0.25,0.1,0.45,20
discovery,dwa,tau_y_150,collision,-0.05,-0.15,0.0,20
discovery,dwa,tau_y_150,timeout,-0.2,-0.4,0.0,20
discovery,dwa,tau_y_150,planner_failure,0.0,0.0,0.0,20
discovery,dwa,tau_y_150,capped_time_to_termination,-2.7945000000004256,-5.498225000000826,-0.16650000000002602,20
discovery,dwa,tau_y_150,path_length,2.3225168769215623,1.4902659846759805,3.1577329798582405,20
discovery,dwa,tau_y_150,min_clearance,-0.3121731750501775,-0.4638300314137745,-0.16767328821802985,20
discovery,dwa,tau_y_150,final_xy_error,-1.9956978735978492,-2.7286941170975596,-1.2857863389082664,20
discovery,dwa,tau_y_300,success,0.1,0.0,0.25,20
discovery,dwa,tau_y_300,collision,-0.05,-0.15,0.0,20
discovery,dwa,tau_y_300,timeout,-0.05,-0.2,0.1,20
discovery,dwa,tau_y_300,planner_failure,0.0,0.0,0.0,20
discovery,dwa,tau_y_300,capped_time_to_termination,-0.2820000000000441,-1.6901125000002641,0.9488625000001285,20
discovery,dwa,tau_y_300,path_length,0.9258017889459141,0.19168616484963835,1.7722578238918587,20
discovery,dwa,tau_y_300,min_clearance,-0.06879576164747121,-0.19775298999208993,0.050245102534244454,20
discovery,dwa,tau_y_300,final_xy_error,-0.8046061225575484,-1.4952665538748353,-0.23373084455171542,20
discovery,dwa,tau_y_500,success,0.05,0.0,0.15,20
discovery,dwa,tau_y_500,collision,-0.05,-0.15,0.0,20
discovery,dwa,tau_y_500,timeout,0.0,-0.15,0.15,20
discovery,dwa,tau_y_500,planner_failure,0.0,0.0,0.0,20
discovery,dwa,tau_y_500,capped_time_to_termination,0.531000000000083,-0.5460000000000853,1.741500000000272,20
discovery,dwa,tau_y_500,path_length,0.6982454219679681,0.12745643777098664,1.3405221469940736,20
discovery,dwa,tau_y_500,min_clearance,-0.044334523483218403,-0.17173569737634042,0.07785541587239965,20
discovery,dwa,tau_y_500,final_xy_error,-0.6207976727569103,-1.1406333121510137,-0.164774839504765,20
discovery,teb,delay_050,success,0.05,0.0,0.15,20
discovery,teb,delay_050,collision,0.0,0.0,0.0,20
discovery,teb,delay_050,timeout,0.0,0.0,0.0,20
discovery,teb,delay_050,planner_failure,-0.05,-0.15,0.0,20
