schedule_index,episode_id,partition,layout_id,planner,profile_id
1,holdout__holdout_10__dwa__delay_100,holdout,holdout_10,dwa,delay_100
2,discovery__discovery_13__teb__tau_x_300,discovery,discovery_13,teb,tau_x_300
3,holdout__holdout_19__teb__tau_y_300,holdout,holdout_19,teb,tau_y_300
4,discovery__discovery_15__teb__tau_x_300,discovery,discovery_15,teb,tau_x_300
5,holdout__holdout_15__teb__tau_w_300,holdout,holdout_15,teb,tau_w_300
6,holdout__holdout_08__teb__tau_x_100,holdout,holdout_08,teb,tau_x_100
7,discovery__discovery_09__dwa__tau_w_300,discovery,discovery_09,dwa,tau_w_300
8,holdout__holdout_20__teb__delay_100,holdout,holdout_20,teb,delay_100
9,holdout__holdout_18__dwa__tau_w_100,holdout,holdout_18,dwa,tau_w_100
10,discovery__discovery_11__teb__tau_w_300,discovery,discovery_11,teb,tau_w_300
11,holdout__holdout_13__dwa__delay_050,holdout,holdout_13,dwa,delay_050
12,discovery__discovery_15__dwa__delay_200,discovery,discovery_15,dwa,delay_200
13,discovery__discovery_10__teb__tau_y_150,discovery,discovery_10,teb,tau_y_150
14,holdout__holdout_02__dwa__tau_x_300,holdout,holdout_02,dwa,tau_x_300
15,holdout__holdout_02__teb__tau_y_300,holdout,holdout_02,teb,tau_y_300
16,holdout__holdout_17__dwa__delay_100,holdout,holdout_17,dwa,delay_100
17,holdout__holdout_06__dwa__delay_050,holdout,holdout_06,dwa,delay_050
18,discovery__discovery_06__teb__tau_y_300,discovery,discovery_06,teb,tau_y_300
19,discovery__discovery_03__dwa__tau_x_100,discovery,discovery_03,dwa,tau_x_100
20,holdout__holdout_11__dwa__delay_100,holdout,holdout_11,dwa,delay_100
21,holdout__holdout_10__teb__delay_100,holdout,holdout_10,teb,delay_100
22,discovery__discovery_04__dwa__tau_y_500,discovery,discovery_04,dwa,tau_y_500
23,discovery__discovery_09__dwa__tau_w_100,discovery,discovery_09,dwa,tau_w_100
24,holdout__holdout_03__teb__tau_y_300,holdout,holdout_03,teb,tau_y_300
25,holdout__holdout_06__dwa__e0,holdout,holdout_06,dwa,e0
26,holdout__holdout_15__teb__e0,holdout,holdout_15,teb,e0
27,discovery__discovery_14__teb__e0,discovery,discovery_14,teb,e0
28,holdout__holdout_10__dwa__tau_w_100,holdout,holdout_10,dwa,tau_w_100
29,holdout__holdout_02__teb__tau_x_100,holdout,holdout_02,teb,tau_x_100
30,holdout__holdout_06__teb__tau_x_100,holdout,holdout_06,teb,tau_x_100
31,discovery__discovery_17__dwa__tau_x_100,discovery,discovery_17,dwa,tau_x_100
32,discovery__discovery_06__dwa__tau_w_300,discovery,discovery_06,dwa,tau_w_300
33,holdout__holdout_14__dwa__e0,holdout,holdout_14,dwa,e0
34,discovery__discovery_12__dwa__delay_200,discovery,discovery_12,dwa,delay_200
35,discovery__discovery_01__teb__tau_y_150,discovery,discovery_01,teb,tau_y_150
36,holdout__holdout_05__dwa__e0,holdout,holdout_05,dwa,e0
37,holdout__holdout_13__dwa__delay_100,holdout,holdout_13,dwa,delay_100
38,holdout__holdout_05__dwa__delay_050,holdout,holdout_05,dwa,delay_050
39,discovery__discovery_20__dwa__e0,discovery,discovery_20,dwa,e0
40,holdout__holdout_17__dwa__tau_y_150,holdout,holdout_17,dwa,tau_y_150
41,discovery__discovery_02__teb__tau_w_100,discovery,discovery_02,teb,tau_w_100
42,discovery__discovery_02__teb__delay_200,discovery,discovery_02,teb,delay_200
43,discovery__discovery_08__dwa__tau_x_100,discovery,discovery_08,dwa,tau_x_100
44,discovery__discovery_13__dwa__delay_050,discovery,discovery_13,dwa,delay_050
45,holdout__holdout_09__teb__e0,holdout,holdout_09,teb,e0
46,holdout__holdout_16__dwa__delay_100,holdout,holdout_16,dwa,delay_100
47,discovery__discovery_13__dwa__tau_w_100,discovery,discovery_13,dwa,tau_w_100
48,discovery__discovery_14__teb__tau_x_100,discovery,discovery_14,teb,tau_x_100
49,discovery__discovery_03__teb__tau_y_500,discovery,discovery_03,teb,tau_y_500
50,holdout__holdout_13__dwa__delay_200,holdout,holdout_13,dwa,delay_200
51,holdout__holdout_16__teb__tau_w_100,holdout,holdout_16,teb,tau_w_100
52,holdout__holdout_20__dwa__delay_050,holdout,holdout_20,dwa,delay_050
53,holdout__holdout_19__teb__tau_x_100,holdout,holdout_19,teb,tau_x_100
54,holdout__holdout_15__teb__tau_x_300,holdout,holdout_15,teb,tau_x_300
55,holdout__holdout_09__teb__delay_100,holdout,holdout_09,teb,delay_100
56,discovery__discovery_10__dwa__delay_100,discovery,discovery_10,dwa,delay_100
57,holdout__holdout_11__teb__tau_y_150,holdout,holdout_11,teb,tau_y_150
58,holdout__holdout_19__teb__e0,holdout,holdout_19,teb,e0
59,discovery__discovery_12__dwa__tau_w_300,discovery,discovery_12,dwa,tau_w_300
60,discovery__discovery_19__dwa__tau_w_300,discovery,discovery_19,dwa,tau_w_300
61,holdout__holdout_12__dwa__tau_y_500,holdout,holdout_12,dwa,tau_y_500
62,discovery__discovery_06__teb__delay_100,discovery,discovery_06,teb,delay_100
63,holdout__holdout_08__teb__tau_w_100,holdout,holdout_08,teb,tau_w_100
64,discovery__discovery_14__teb__tau_x_300,discovery,discovery_14,teb,tau_x_300
65,discovery__discovery_03__dwa__tau_y_300,discovery,discovery_03,dwa,tau_y_300
66,holdout__holdout_07__dwa__delay_100,holdout,holdout_07,dwa,delay_100
67,discovery__discovery_15__teb__tau_y_500,discovery,discovery_15,teb,tau_y_500
68,holdout__holdout_12__teb__delay_100,holdout,holdout_12,teb,delay_100
69,holdout__holdout_06__teb__tau_y_150,holdout,holdout_06,teb,tau_y_150
70,holdout__holdout_03__teb__tau_y_150,holdout,holdout_03,teb,tau_y_150
