schedule_index,episode_id,layout_id,condition,planner,profile_id,_override_yaml
1,calibration_06__teb_current,calibration_06,teb_current,teb,e0,
2,calibration_06__dwa_forward0,calibration_06,dwa_forward0,dwa,e0,configs/phase2b/dwa_forward_point_zero.yaml
3,calibration_07__teb_current,calibration_07,teb_current,teb,e0,
4,calibration_10__dwa_current,calibration_10,dwa_current,dwa,e0,
5,calibration_10__dwa_forward0,calibration_10,dwa_forward0,dwa,e0,configs/phase2b/dwa_forward_point_zero.yaml
6,calibration_08__dwa_forward0,calibration_08,dwa_forward0,dwa,e0,configs/phase2b/dwa_forward_point_zero.yaml
7,calibration_09__dwa_current,calibration_09,dwa_current,dwa,e0,
8,calibration_02__dwa_forward0,calibration_02,dwa_forward0,dwa,e0,configs/phase2b/dwa_forward_point_zero.yaml
9,calibration_03__teb_current,calibration_03,teb_current,teb,e0,
10,calibration_01__teb_current,calibration_01,teb_current,teb,e0,
11,calibration_04__teb_current,calibration_04,teb_current,teb,e0,
12,calibration_09__dwa_forward0,calibration_09,dwa_forward0,dwa,e0,configs/phase2b/dwa_forward_point_zero.yaml
13,calibration_03__dwa_forward0,calibration_03,dwa_forward0,dwa,e0,configs/phase2b/dwa_forward_point_zero.yaml
14,calibration_07__dwa_forward0,calibration_07,dwa_forward0,dwa,e0,configs/phase2b/dwa_forward_point_zero.yaml
15,calibration_04__dwa_current,calibration_04,dwa_current,dwa,e0,
16,calibration_09__teb_current,calibration_09,teb_current,teb,e0,
17,calibration_03__dwa_current,calibration_03,dwa_current,dwa,e0,
18,calibration_08__teb_current,calibration_08,teb_current,teb,e0,
19,calibration_05__dwa_forward0,calibration_05,dwa_forward0,dwa,e0,configs/phase2b/dwa_forward_point_zero.yaml
20,calibration_02__teb_current,calibration_02,teb_current,teb,e0,
21,calibration_07__dwa_current,calibration_07,dwa_current,dwa,e0,
22,calibration_01__dwa_current,calibration_01,dwa_current,dwa,e0,
23,calibration_06__dwa_current,calibration_06,dwa_current,dwa,e0,
24,calibration_10__teb_current,calibration_10,teb_current,teb,e0,
25,calibration_02__dwa_current,calibration_02,dwa_current,dwa,e0,
26,calibration_05__dwa_current,calibration_05,dwa_current,dwa,e0,
27,calibration_01__dwa_forward0,calibration_01,dwa_forward0,dwa,e0,configs/phase2b/dwa_forward_point_zero.yaml
28,calibration_08__dwa_current,calibration_08,dwa_current,dwa,e0,
29,calibration_04__dwa_forward0,calibration_04,dwa_forward0,dwa,e0,configs/phase2b/dwa_forward_point_zero.yaml
30,calibration_05__teb_current,calibration_05,teb_current,teb,e0,
