schedule_index,episode_id,partition,layout_id,planner,profile_id
1,holdout__holdout_20__tr__tau_w_300,holdout,holdout_20,tr,tau_w_300
2,discovery__discovery_01__tr__tau_x_300,discovery,discovery_01,tr,tau_x_300
3,discovery__discovery_09__tr__tau_y_150,discovery,discovery_09,tr,tau_y_150
4,holdout__holdout_07__teb__delay_050,holdout,holdout_07,teb,delay_050
5,holdout__holdout_15__tr__tau_w_100,holdout,holdout_15,tr,tau_w_100
6,discovery__discovery_17__tr__tau_y_150,discovery,discovery_17,tr,tau_y_150
7,discovery__discovery_02__teb__tau_x_300,discovery,discovery_02,teb,tau_x_300
8,holdout__holdout_05__tr__tau_w_100,holdout,holdout_05,tr,tau_w_100
9,holdout__holdout_19__tr__delay_200,holdout,holdout_19,tr,delay_200
10,discovery__discovery_20__tr__tau_x_300,discovery,discovery_20,tr,tau_x_300
11,holdout__holdout_02__tr__delay_100,holdout,holdout_02,tr,delay_100
12,holdout__holdout_08__teb__tau_w_300,holdout,holdout_08,teb,tau_w_300
13,discovery__discovery_07__teb__tau_y_300,discovery,discovery_07,teb,tau_y_300
14,discovery__discovery_19__tr__tau_y_500,discovery,discovery_19,tr,tau_y_500
15,discovery__discovery_19__tr__tau_w_300,discovery,discovery_19,tr,tau_w_300
16,holdout__holdout_01__tr__delay_050,holdout,holdout_01,tr,delay_050
17,discovery__discovery_11__tr__e0,discovery,discovery_11,tr,e0
18,holdout__holdout_17__teb__delay_200,holdout,holdout_17,teb,delay_200
19,discovery__discovery_14__teb__tau_y_300,discovery,discovery_14,teb,tau_y_300
20,discovery__discovery_08__tr__delay_100,discovery,discovery_08,tr,delay_100
21,discovery__discovery_11__tr__delay_050,discovery,discovery_11,tr,delay_050
22,discovery__discovery_16__teb__tau_y_300,discovery,discovery_16,teb,tau_y_300
23,discovery__discovery_20__tr__tau_x_100,discovery,discovery_20,tr,tau_x_100
24,holdout__holdout_12__teb__tau_w_300,holdout,holdout_12,teb,tau_w_300
25,discovery__discovery_06__teb__tau_x_300,discovery,discovery_06,teb,tau_x_300
26,discovery__discovery_12__tr__delay_100,discovery,discovery_12,tr,delay_100
27,holdout__holdout_13__teb__e0,holdout,holdout_13,teb,e0
28,holdout__holdout_12__teb__tau_y_500,holdout,holdout_12,teb,tau_y_500
29,holdout__holdout_03__teb__e0,holdout,holdout_03,teb,e0
30,holdout__holdout_08__teb__delay_200,holdout,holdout_08,teb,delay_200
31,discovery__discovery_02__teb__delay_100,discovery,discovery_02,teb,delay_100
32,discovery__discovery_05__teb__tau_x_300,discovery,discovery_05,teb,tau_x_300
33,holdout__holdout_06__tr__delay_100,holdout,holdout_06,tr,delay_100
34,discovery__discovery_14__teb__e0,discovery,discovery_14,teb,e0
35,holdout__holdout_14__tr__tau_y_500,holdout,holdout_14,tr,tau_y_500
36,holdout__holdout_20__tr__tau_x_300,holdout,holdout_20,tr,tau_x_300
37,holdout__holdout_04__tr__delay_100,holdout,holdout_04,tr,delay_100
38,discovery__discovery_12__tr__tau_y_300,discovery,discovery_12,tr,tau_y_300
39,discovery__discovery_02__tr__delay_050,discovery,discovery_02,tr,delay_050
40,discovery__discovery_10__teb__tau_w_300,discovery,discovery_10,teb,tau_w_300
41,discovery__discovery_12__tr__tau_w_100,discovery,discovery_12,tr,tau_w_100
42,discovery__discovery_20__tr__tau_y_500,discovery,discovery_20,tr,tau_y_500
43,discovery__discovery_19__teb__tau_y_300,discovery,discovery_19,teb,tau_y_300
44,discovery__discovery_07__tr__tau_y_150,discovery,discovery_07,tr,tau_y_150
45,holdout__holdout_11__teb__tau_w_100,holdout,holdout_11,teb,tau_w_100
46,holdout__holdout_02__teb__tau_w_300,holdout,holdout_02,teb,tau_w_300
47,holdout__holdout_03__teb__tau_y_150,holdout,holdout_03,teb,tau_y_150
48,holdout__holdout_10__tr__delay_100,holdout,holdout_10,tr,delay_100
49,holdout__holdout_12__tr__tau_w_300,holdout,holdout_12,tr,tau_w_300
50,discovery__discovery_16__tr__delay_200,discovery,discovery_16,tr,delay_200
51,discovery__discovery_09__teb__tau_y_500,discovery,discovery_09,teb,tau_y_500
52,holdout__holdout_04__teb__tau_w_100,holdout,holdout_04,teb,tau_w_100
53,discovery__discovery_19__tr__tau_x_300,discovery,discovery_19,tr,tau_x_300
54,discovery__discovery_05__tr__tau_y_500,discovery,discovery_05,tr,tau_y_500
55,discovery__discovery_17__teb__tau_y_300,discovery,discovery_17,teb,tau_y_300
56,discovery__discovery_05__teb__tau_w_100,discovery,discovery_05,teb,tau_w_100
57,discovery__discovery_03__tr__tau_y_500,discovery,discovery_03,tr,tau_y_500
58,holdout__holdout_19__teb__delay_100,holdout,holdout_19,teb,delay_100
59,discovery__discovery_12__teb__delay_050,discovery,discovery_12,teb,delay_050
60,discovery__discovery_07__teb__tau_y_500,discovery,discovery_07,teb,tau_y_500
61,holdout__holdout_11__tr__tau_x_100,holdout,holdout_11,tr,tau_x_100
62,discovery__discovery_06__tr__tau_w_100,discovery,discovery_06,tr,tau_w_100
63,discovery__discovery_03__tr__tau_y_300,discovery,discovery_03,tr,tau_y_300
64,holdout__holdout_17__tr__tau_w_300,holdout,holdout_17,tr,tau_w_300
