partition,group,contrast,statistic,estimate,ci_low,ci_high,valid_resamples
holdout,tr,e_v,auroc,0.5069444444444444,0.2588214726450021,0.75,2000
holdout,tr,e_v,auprc,0.6519582470669427,0.4341862187996342,0.8503181641706189,2000
holdout,tr,e_x,auroc,0.4513888888888889,0.19383830455259027,0.7051562499999999,2000
holdout,tr,e_x,auprc,0.5621534758241415,0.3670671308302382,0.7916586861410536,2000
holdout,tr,c_min,auroc,0.7569444444444444,0.5311918904958678,0.9220815295815296,2000
holdout,tr,c_min,auprc,0.7899122807017543,0.6055552508493685,0.9346081714338291,2000
holdout,tr,u_magnitude,auroc,0.6944444444444444,0.45454545454545453,0.9127142857142856,2000
holdout,tr,u_magnitude,auprc,0.7752525252525253,0.5824228185804569,0.9340886258349492,2000
holdout,tr,delta_u_magnitude,auroc,0.4375,0.2083173076923077,0.6894209956709956,2000
holdout,tr,delta_u_magnitude,auprc,0.5246858465608466,0.3746108989050166,0.8009507253190824,2000
holdout,tr,m_p,auroc,0.16319444444444445,0.019427534271284273,0.3787878787878788,2000
holdout,tr,m_p,auprc,0.3673680150931463,0.263879046046683,0.5697081977575545,2000
holdout,tr,theta_magnitude,auroc,0.3090277777777778,0.09847027972027972,0.534642857142857,2000
holdout,tr,theta_magnitude,auprc,0.41092555105713,0.30064276123486644,0.5703397481467332,2000
holdout,tr,m_pf,auroc,0.5243055555555556,0.3004924242424242,0.7685363247863246,2000
holdout,tr,m_pf,auprc,0.6295454545454544,0.39565125706528864,0.8646786100803957,2000
holdout,tr,ordinary_combined,auroc,0.4236111111111111,0.17421969696969697,0.6753860028860026,2000
holdout,tr,ordinary_combined,auprc,0.5356560350603963,0.34384134359792257,0.7907096643435926,2000
holdout,tr,ordinary_plus_m_pf,auroc,0.4166666666666667,0.18175990675990678,0.661666666666666,2000
holdout,tr,ordinary_plus_m_pf,auprc,0.5561068762155719,0.3711428052692258,0.7722635697635698,2000
holdout,tr,extended_minus_baseline,auroc,-0.00694444444444442,-0.12643398268398268,0.1483537946428571,2000
holdout,tr,extended_minus_baseline,auprc,0.020450841155175592,-0.11639527139527128,0.16734972589139246,2000
holdout,teb,e_v,auroc,0.5763888888888888,0.35288388082505734,0.797222222222222,2000
holdout,teb,e_v,auprc,0.5875704522086102,0.3699524009940677,0.8449838712658975,2000
holdout,teb,e_x,auroc,0.6944444444444444,0.454491341991342,0.8809523809523809,2000
holdout,teb,e_x,auprc,0.7295700766095502,0.5130831864127059,0.9143795841339291,2000
holdout,teb,c_min,auroc,0.7777777777777778,0.5912683823529412,0.9461538461538461,2000
holdout,teb,c_min,auprc,0.853373015873016,0.6837751035196687,0.9685314685314685,2000
holdout,teb,u_magnitude,auroc,0.6111111111111112,0.3518467643467644,0.8376068376068376,2000
holdout,teb,u_magnitude,auprc,0.727288890384529,0.5058442335176785,0.9027898659463784,2000
holdout,teb,delta_u_magnitude,auroc,0.7222222222222222,0.5454545454545454,0.9015297202797202,2000
holdout,teb,delta_u_magnitude,auprc,0.6707479805196523,0.5263763786764707,0.9105053051523639,2000
holdout,teb,m_p,auroc,0.6909722222222222,0.4895833333333333,0.8765542328042327,2000
holdout,teb,m_p,auprc,0.69622113997114,0.5480690836940836,0.9031500885478156,2000
holdout,teb,theta_magnitude,auroc,0.5868055555555556,0.36504329004329,0.7916666666666666,2000
holdout,teb,theta_magnitude,auprc,0.573015873015873,0.386945672904171,0.7841811594202898,2000
holdout,teb,m_pf,auroc,0.5729166666666666,0.3142811355311355,0.8181818181818182,2000
holdout,teb,m_pf,auprc,0.587427328424182,0.4080702460731065,0.8592656710119946,2000
holdout,teb,ordinary_combined,auroc,0.4166666666666667,0.17457693821330184,0.6833987603305782,2000
holdout,teb,ordinary_combined,auprc,0.6326114389043449,0.3845451613052821,0.8224865687381672,2000
holdout,teb,ordinary_plus_m_pf,auroc,0.4722222222222222,0.23214285714285715,0.7333566433566432,2000
holdout,teb,ordinary_plus_m_pf,auprc,0.6481218057305014,0.4146722555766673,0.8373958319025547,2000
holdout,teb,extended_minus_baseline,auroc,0.055555555555555525,-0.027782634032634045,0.18181818181818182,2000
holdout,teb,extended_minus_baseline,auprc,0.015510366826156474,-0.015441287270857126,0.07204196742799678,2000
holdout,dwa,e_v,auroc,0.4027777777777778,0.15706043956043955,0.6827546296296293,2000
holdout,dwa,e_v,auprc,0.5479327775767404,0.30498387792118437,0.8513440608615239,2000
holdout,dwa,e_x,auroc,0.2638888888888889,0.0625,0.5119543650793648,2000
holdout,dwa,e_x,auprc,0.5118152680652681,0.27320989437293786,0.7925796176724278,2000
holdout,dwa,c_min,auroc,0.6111111111111112,0.35041666666666665,0.8417034313725488,2000
holdout,dwa,c_min,auprc,0.6080577918813213,0.375854197545374,0.915092500636618,2000
holdout,dwa,u_magnitude,auroc,0.2361111111111111,0.0,0.5833333333333334,2000
holdout,dwa,u_magnitude,auprc,0.39592373206503645,0.22377581428194174,0.7161697062128012,2000
holdout,dwa,delta_u_magnitude,auroc,0.18055555555555555,0.0,0.44062499999999916,2000
holdout,dwa,delta_u_magnitude,auprc,0.37872189944558365,0.20119489146119582,0.7270926961470863,2000
holdout,dwa,m_p,auroc,0.6388888888888888,0.492034632034632,0.7863333333333332,2000
holdout,dwa,m_p,auprc,0.6452241715399611,0.40805555555555556,0.8751859910865556,2000
holdout,dwa,theta_magnitude,auroc,0.5763888888888888,0.3140625,0.8407449494949495,2000
holdout,dwa,theta_magnitude,auprc,0.6657407407407407,0.40728113553113554,0.9104308712121211,2000
holdout,dwa,m_pf,auroc,0.19444444444444445,0.006993006993006993,0.3429241071428572,1998
holdout,dwa,m_pf,auprc,0.3939935064935065,0.23167815028109146,0.6765701792080465,2000
holdout,dwa,ordinary_combined,auroc,0.7361111111111112,0.44032738095238094,0.9333333333333333,1999
holdout,dwa,ordinary_combined,auprc,0.6644436853995677,0.43970495129870124,0.9415293953122899,2000
holdout,dwa,ordinary_plus_m_pf,auroc,0.8333333333333334,0.6410256410256411,0.9807692307692307,2000
holdout,dwa,ordinary_plus_m_pf,auprc,0.7589629790287683,0.5292609779657477,0.983345588235294,2000
holdout,dwa,extended_minus_baseline,auroc,0.09722222222222221,0.014285714285714235,0.26168467895740605,1999
holdout,dwa,extended_minus_baseline,auprc,0.09451929362920064,0.0030850168350168464,0.2244180819180817,2000
holdout,pooled,e_v,auroc,0.49074074074074076,0.3498494800218938,0.6206225163627864,2000
holdout,pooled,e_v,auprc,0.5716808924915395,0.4274701411996804,0.7177228996331336,2000
holdout,pooled,e_x,auroc,0.48842592592592593,0.3469763534390898,0.6317708333333333,2000
holdout,pooled,e_x,auprc,0.5875912148313487,0.4314840588060833,0.7317230015468954,2000
holdout,pooled,c_min,auroc,0.7260802469135802,0.5946728502978503,0.8361919146036793,2000
holdout,pooled,c_min,auprc,0.7641629580237841,0.6372150475232251,0.8780783184092563,2000
holdout,pooled,u_magnitude,auroc,0.49074074074074076,0.3304279181184669,0.6462245139876718,2000
holdout,pooled,u_magnitude,auprc,0.5608866130473186,0.40209312682114473,0.7230256970640682,2000
holdout,pooled,delta_u_magnitude,auroc,0.4637345679012346,0.3284037714184773,0.5910593993695039,2000
holdout,pooled,delta_u_magnitude,auprc,0.5258292297728535,0.4189151752998736,0.6782319979533351,2000
holdout,pooled,m_p,auroc,0.4664351851851852,0.34965344165760187,0.5977014322465024,2000
holdout,pooled,m_p,auprc,0.48370546724073227,0.3627337144150748,0.6632666438157379,2000
holdout,pooled,theta_magnitude,auroc,0.4992283950617284,0.3434345223826931,0.642987878251235,2000
holdout,pooled,theta_magnitude,auprc,0.5161258012820513,0.39611796180667813,0.6662181505146014,2000
holdout,pooled,m_pf,auroc,0.4020061728395062,0.2786188497882046,0.5178715437788018,2000
holdout,pooled,m_pf,auprc,0.46917204258378575,0.35581144191165837,0.6296659712934388,2000
holdout,pooled,ordinary_combined,auroc,0.5493827160493827,0.4227500355321833,0.6878909489495396,2000
holdout,pooled,ordinary_combined,auprc,0.5749640994374523,0.4402118647358767,0.758007754622612,2000
holdout,pooled,ordinary_plus_m_pf,auroc,0.5995370370370371,0.4594225528049058,0.7475537988362682,2000
holdout,pooled,ordinary_plus_m_pf,auprc,0.6279402616543905,0.4968846379741429,0.7917670726095307,2000
