partition,group,predictor,statistic,estimate
discovery,tr,e_v,auroc,0.5555555555555556
discovery,tr,e_v,auprc,0.6729818585317306
discovery,tr,e_x,auroc,0.2847222222222222
discovery,tr,e_x,auprc,0.41752197184119383
discovery,tr,c_min,auroc,0.1875
discovery,tr,c_min,auprc,0.3744640765774162
discovery,tr,u_magnitude,auroc,0.2222222222222222
discovery,tr,u_magnitude,auprc,0.49348411091832145
discovery,tr,delta_u_magnitude,auroc,0.4097222222222222
discovery,tr,delta_u_magnitude,auprc,0.5594874868330246
discovery,tr,m_p,auroc,0.20833333333333334
discovery,tr,m_p,auprc,0.3965678041764998
discovery,tr,theta_magnitude,auroc,0.4340277777777778
discovery,tr,theta_magnitude,auprc,0.4874756335282651
discovery,tr,m_pf,auroc,0.4895833333333333
discovery,tr,m_pf,auprc,0.5150093370681605
discovery,tr,ordinary_combined,auroc,0.9236111111111112
discovery,tr,ordinary_combined,auprc,0.9514652014652015
discovery,tr,ordinary_plus_m_pf,auroc,0.9305555555555556
discovery,tr,ordinary_plus_m_pf,auprc,0.9464447102604998
discovery,teb,e_v,auroc,0.5416666666666666
discovery,teb,e_v,auprc,0.6563082385450805
discovery,teb,e_x,auroc,0.6180555555555556
discovery,teb,e_x,auprc,0.5581626978685803
discovery,teb,c_min,auroc,0.8263888888888888
discovery,teb,c_min,auprc,0.8666650751209575
discovery,teb,u_magnitude,auroc,0.3819444444444444
discovery,teb,u_magnitude,auprc,0.5113104695105974
discovery,teb,delta_u_magnitude,auroc,0.4513888888888889
discovery,teb,delta_u_magnitude,auprc,0.5045500996587953
discovery,teb,m_p,auroc,0.7291666666666666
discovery,teb,m_p,auprc,0.7209819055213791
discovery,teb,theta_magnitude,auroc,0.6909722222222222
discovery,teb,theta_magnitude,auprc,0.6446608946608947
discovery,teb,m_pf,auroc,0.3819444444444444
discovery,teb,m_pf,auprc,0.4367431588019824
discovery,teb,ordinary_combined,auroc,0.8125
discovery,teb,ordinary_combined,auprc,0.8597011784511785
discovery,teb,ordinary_plus_m_pf,auroc,0.8125
discovery,teb,ordinary_plus_m_pf,auprc,0.8663149350649353
