snapshot_id,source,partition,planner,layout_id,layout_cluster,episode_id,profile_id,call_index,snapshot_time,normalized_path_progress,y_bad,mechanisms,label_collision,label_planner_failure,label_command_collapse,label_progress_stall,label_oscillatory_reversal_vy,label_oscillatory_reversal_wz,delay,delay_normalized,tau_x,tau_x_normalized,tau_y,tau_y_normalized,tau_w,tau_w_normalized,theta_magnitude,e_v,e_x,c_min,u_magnitude,delta_u_magnitude,m_p,m_pf,m_p_censored,m_pf_censored,baseline_query_mismatch,nominal_rollout_failure,m_p_queries,m_pf_queries,recorded_command,baseline_query_command
eipt_001,phase2,discovery,dwa,discovery_02,phase2:discovery_02,discovery__discovery_02__dwa__delay_050,delay_050,5,0.25000000000000006,0.0008919888572626247,1,planner_failure;progress_stall,0,1,0,1,0,0,0.05,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.04025892042172113,1.2561413461981664e-14,0.5258846914149731,0.19862174542653105,0.0,0.125,2.0,0,1,0,0,62,26,"{""vx"":0.00571428844705224,""vy"":-0.06285714358091354,""wz"":-0.06710526347160341}","{""vx"":0.00571428844705224,""vy"":-0.06285714358091354,""wz"":-0.06710526347160341}"
eipt_002,phase2,discovery,dwa,discovery_03,phase2:discovery_03,discovery__discovery_03__dwa__tau_x_100,tau_x_100,5,0.25000000000000006,0.0021603416106045223,1,command_collapse;progress_stall,0,0,1,1,0,0,0.0,0.0,0.1,0.33333333333333337,0.0,0.0,0.0,0.0,0.33333333333333337,0.14233268408640226,0.008993584770726428,0.5985157647150176,0.16328141081933012,0.14322541361693542,0.125,0.75,0,0,0,0,63,30,"{""vx"":0.001030903891660273,""vy"":-0.057142868638038635,""wz"":-7.352546571581797e-09}","{""vx"":0.001030903891660273,""vy"":-0.057142868638038635,""wz"":-7.352546571581797e-09}"
eipt_003,phase2,discovery,dwa,discovery_04,phase2:discovery_04,discovery__discovery_04__dwa__tau_w_300,tau_w_300,5,0.25000000000000006,0.0014826890776357714,1,command_collapse;progress_stall,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.0,0.09600452428944133,0.08635418853366339,0.5679652283505724,0.19185610731086325,0.08381210304200283,0.09375,2.0,0,1,0,0,64,32,"{""vx"":0.0057142856530845165,""vy"":-0.04571428522467613,""wz"":-0.1119655892252922}","{""vx"":0.0057142856530845165,""vy"":-0.04571428522467613,""wz"":-0.1119655892252922}"
eipt_004,phase2,discovery,dwa,discovery_05,phase2:discovery_05,discovery__discovery_05__dwa__tau_y_500,tau_y_500,5,0.25000000000000006,0.0003577302069380358,1,progress_stall,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.12326612266279369,0.07612970886707081,0.7964003955325032,0.31309596394921296,0.04745095174703496,0.125,0.5,0,0,0,0,64,34,"{""vx"":0.011428574100136757,""vy"":-0.05685737356543541,""wz"":-0.21315789222717285}","{""vx"":0.011428574100136757,""vy"":-0.05685737356543541,""wz"":-0.21315789222717285}"
eipt_005,phase2,discovery,dwa,discovery_07,phase2:discovery_07,discovery__discovery_07__dwa__e0,e0,5,0.25000000000000006,0.0014844514447818111,1,progress_stall,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03219419374281255,1.25619374978378e-14,0.6389767092830807,0.19903856002209255,0.03219419374281255,0.125,2.0,0,1,0,0,65,24,"{""vx"":0.011428574100136757,""vy"":-0.04571428522467613,""wz"":-0.11842105537652968}","{""vx"":0.011428574100136757,""vy"":-0.04571428522467613,""wz"":-0.11842105537652968}"
eipt_006,phase2,discovery,dwa,discovery_10,phase2:discovery_10,discovery__discovery_10__dwa__e0,e0,12,0.6000000000000003,0.015005494917719285,1,progress_stall,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10653315824534319,6.661428497319261e-14,0.8492865125616175,0.4423496561990709,0.10653315824534319,0.25,0.09375,0,0,0,0,68,26,"{""vx"":-0.005714284721761942,""vy"":-0.15428569912910461,""wz"":0.027631554752588272}","{""vx"":-0.005714284721761942,""vy"":-0.15428569912910461,""wz"":0.027631554752588272}"
eipt_007,phase2,discovery,dwa,discovery_13,phase2:discovery_13,discovery__discovery_13__dwa__tau_x_100,tau_x_100,5,0.25000000000000006,0.0,1,progress_stall,0,0,0,1,0,0,0.0,0.0,0.1,0.33333333333333337,0.0,0.0,0.0,0.0,0.33333333333333337,0.14836285504694904,0.008993538822686768,0.4915324851191422,0.31952544563048263,0.148184356535611,0.125,0.125,0,0,0,0,64,25,"{""vx"":-0.05068220943212509,""vy"":-0.03999999910593033,""wz"":0.22105263173580172}","{""vx"":-0.05068220943212509,""vy"":-0.03999999910593033,""wz"":0.22105263173580172}"
eipt_008,phase2,discovery,dwa,discovery_14,phase2:discovery_14,discovery__discovery_14__dwa__tau_w_300,tau_w_300,5,0.25000000000000006,0.0016480064569264216,1,command_collapse;progress_stall,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.0,0.09600452428944133,0.08635418853366339,1.00587912060008,0.19185610731086325,0.08381210304200283,0.09375,2.0,0,1,0,0,64,32,"{""vx"":0.0057142856530845165,""vy"":-0.04571428522467613,""wz"":-0.1119655892252922}","{""vx"":0.0057142856530845165,""vy"":-0.04571428522467613,""wz"":-0.1119655892252922}"
eipt_009,phase2,discovery,dwa,discovery_15,phase2:discovery_15,discovery__discovery_15__dwa__e0,e0,50,2.4999999999999907,0.12660726587360202,1,progress_stall,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04025891447332046,1.987239127776531e-14,0.6046406581352425,0.48783018401955813,0.04025891447332046,0.21875,0.5,0,0,0,0,69,23,"{""vx"":0.13142848014831543,""vy"":-0.10743435472249985,""wz"":-0.19342102110385892}","{""vx"":0.13142848014831543,""vy"":-0.10743435472249985,""wz"":-0.19342102110385892}"
eipt_010,phase2,discovery,dwa,discovery_17,phase2:discovery_17,discovery__discovery_17__dwa__e0,e0,5,0.25000000000000006,0.0020481545903182105,1,command_collapse;progress_stall,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017055841872569397,2.5121516772833817e-14,1.4753680961889206,0.2628967968777105,0.017055841872569397,0.09375,0.75,0,0,0,0,60,26,"{""vx"":0.0,""vy"":-0.09142858535051346,""wz"":0.023684201762080193}","{""vx"":0.0,""vy"":-0.09142858535051346,""wz"":0.023684201762080193}"
eipt_011,phase2,discovery,dwa,discovery_18,phase2:discovery_18,discovery__discovery_18__dwa__delay_200,delay_200,5,0.25000000000000006,3.218490741868453e-05,1,command_collapse;progress_stall,0,0,1,1,0,0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06224623961368671,0.048738526811057926,0.7200095416283943,0.058257546383674454,0.06224623961368671,0.18750000000000003,0.984375,0,0,0,0,66,38,"{""vx"":-0.017142856493592262,""vy"":-0.011428573168814182,""wz"":-0.023684214800596237}","{""vx"":-0.017142856493592262,""vy"":-0.011428573168814182,""wz"":-0.023684214800596237}"
eipt_012,phase2,discovery,dwa,discovery_20,phase2:discovery_20,discovery__discovery_20__dwa__delay_200,delay_200,5,0.25000000000000006,0.0,1,progress_stall,0,0,0,1,0,0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16087737665255933,0.1357819147179827,0.7004459848862479,0.20328331405777889,0.16087737665255933,0.09375000000000001,2.0,0,1,0,0,69,32,"{""vx"":0.011428573168814182,""vy"":-0.05714285746216774,""wz"":-0.09473684430122375}","{""vx"":0.011428573168814182,""vy"":-0.05714285746216774,""wz"":-0.09473684430122375}"
eipt_013,phase2,discovery,dwa,discovery_01,phase2:discovery_01,discovery__discovery_01__dwa__tau_y_150,tau_y_150,5,0.25000000000000006,0.0016694637840290853,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.13167012530716843,0.06803244220508295,0.5404709733328811,0.31527204704038514,0.07297482698164424,0.09375,0.03125,0,0,0,0,62,28,"{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}","{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}"
eipt_014,phase2,discovery,dwa,discovery_01,phase2:discovery_01,discovery__discovery_01__dwa__tau_y_150,tau_y_150,45,2.249999999999996,0.15488766771975468,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.12336654905587258,0.029156776568332012,0.4430229408888564,1.1561626111876875,0.1136256873797316,0.31953970967989065,2.0,0,1,0,0,66,28,"{""vx"":0.4374373257160187,""vy"":-0.21773117780685425,""wz"":0.05526319146156311}","{""vx"":0.4374373257160187,""vy"":-0.21773117780685425,""wz"":0.05526319146156311}"
eipt_015,phase2,discovery,dwa,discovery_06,phase2:discovery_06,discovery__discovery_06__dwa__tau_y_150,tau_y_150,5,0.25000000000000006,0.001396048442327873,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.13167012530716843,0.06803244220508295,0.7439657596972553,0.31527204704038514,0.07297482698164424,0.09375,0.0625,0,0,0,0,62,31,"{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}","{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}"
eipt_016,phase2,discovery,dwa,discovery_06,phase2:discovery_06,discovery__discovery_06__dwa__tau_y_150,tau_y_150,45,2.249999999999996,0.11762052603823273,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.053951647184362524,0.009718934716389245,0.4399859489468101,1.1317648802034896,0.07272166272366515,0.25,2.0,0,1,0,0,64,28,"{""vx"":0.39087462425231934,""vy"":-0.2485976219177246,""wz"":-0.11842104792594911}","{""vx"":0.39087462425231934,""vy"":-0.2485976219177246,""wz"":-0.11842104792594911}"
eipt_017,phase2,discovery,dwa,discovery_08,phase2:discovery_08,discovery__discovery_08__dwa__tau_y_150,tau_y_150,5,0.25000000000000006,0.0017565635374339698,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.13167012530716843,0.06803244220508295,0.8078252619830499,0.31527204704038514,0.07297482698164424,0.09375,0.0625,0,0,0,0,62,31,"{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}","{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}"
eipt_018,phase2,discovery,dwa,discovery_08,phase2:discovery_08,discovery__discovery_08__dwa__tau_y_150,tau_y_150,45,2.249999999999996,0.1497492512061021,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.04922750443989412,0.02915656544107501,0.5008064355024593,1.1831277663141277,0.014734876776214196,0.35752451281608266,2.0,0,1,0,0,69,28,"{""vx"":0.4433330297470093,""vy"":-0.1969430148601532,""wz"":0.26842102408409124}","{""vx"":0.4433330297470093,""vy"":-0.1969430148601532,""wz"":0.26842102408409124}"
eipt_019,phase2,discovery,dwa,discovery_12,phase2:discovery_12,discovery__discovery_12__dwa__tau_y_150,tau_y_150,5,0.25000000000000006,0.0016978718166415208,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.13167012530716843,0.06803244220508295,0.7889451008213023,0.31527204704038514,0.07297482698164424,0.09375,0.0625,0,0,0,0,62,31,"{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}","{""vx"":0.06857142597436905,""vy"":-0.09021445363759995,""wz"":-0.07894735783338547}"
eipt_020,phase2,discovery,dwa,discovery_12,phase2:discovery_12,discovery__discovery_12__dwa__tau_y_150,tau_y_150,45,2.249999999999996,0.15695789004442165,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.029639618868190862,0.009718924329159126,0.13081005201952686,1.139348743043633,0.031051946228011888,0.15625,2.0,0,1,0,0,65,28,"{""vx"":0.443469375371933,""vy"":-0.2000029981136322,""wz"":-0.0157894529402256}","{""vx"":0.443469375371933,""vy"":-0.2000029981136322,""wz"":-0.0157894529402256}"
eipt_021,phase2,discovery,dwa,discovery_16,phase2:discovery_16,discovery__discovery_16__dwa__e0,e0,5,0.25000000000000006,0.0044744934577293765,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1271550110078098,8.881784197001252e-15,0.48346359883851253,0.7019693036664939,0.1271550110078098,0.1875,0.15625,0,0,0,0,63,21,"{""vx"":-0.011428570374846458,""vy"":-0.24000000953674316,""wz"":0.1184210404753685}","{""vx"":-0.011428570374846458,""vy"":-0.24000000953674316,""wz"":0.1184210404753685}"
eipt_022,phase2,discovery,dwa,discovery_16,phase2:discovery_16,discovery__discovery_16__dwa__e0,e0,45,2.249999999999996,0.14466119945594422,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13304555819965533,8.989550626504554e-15,0.18543480758081707,1.3237929145198126,0.13304555819965533,0.20183361401160116,0.21875,0,0,0,0,64,22,"{""vx"":0.41142842173576355,""vy"":-0.27710044384002686,""wz"":-0.4305876195430755}","{""vx"":0.41142842173576355,""vy"":-0.27710044384002686,""wz"":-0.4305876195430755}"
eipt_023,phase2,discovery,dwa,discovery_19,phase2:discovery_19,discovery__discovery_19__dwa__delay_100,delay_100,5,0.25000000000000006,0.0011064117737674226,0,,0,0,0,0,0,0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1483628552309894,0.07468874746739279,0.4644940130426697,0.30529680090043576,0.08574319859231107,0.31250000000000006,0.265625,0,0,0,0,67,36,"{""vx"":-0.034285712987184525,""vy"":-0.07999999821186066,""wz"":-0.1500000059604645}","{""vx"":-0.034285712987184525,""vy"":-0.07999999821186066,""wz"":-0.1500000059604645}"
eipt_024,phase2,discovery,dwa,discovery_19,phase2:discovery_19,discovery__discovery_19__dwa__tau_y_150,tau_y_150,5,0.25000000000000006,0.0014426560912130738,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.3,0.0960045045640943,0.009718851782930044,0.46319942720057905,0.3875266007065294,0.11510337056221319,0.15625,0.03125,0,0,0,0,64,28,"{""vx"":-0.034285709261894226,""vy"":-0.062408022582530975,""wz"":-0.26842105388641363}","{""vx"":-0.034285709261894226,""vy"":-0.062408022582530975,""wz"":-0.26842105388641363}"
eipt_025,rq1,discovery,teb,discovery_01,rq1:discovery_01,discovery__discovery_01__teb__tau_y_500,tau_y_500,149,7.449999999999886,0.39877435246301,1,progress_stall,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.20339945182649327,0.12296766141644315,0.190380628389303,0.45855780171064203,0.12243943550129992,0.0625,0.1875,0,0,0,0,65,33,"{""vx"":0.13426584647571593,""vy"":0.12166841286790112,""wz"":0.01617892558677178}","{""vx"":0.1470834541862709,""vy"":0.14899279605494586,""wz"":-0.027495952950376268}"
