partition,planner,profile_id,metric,n_layouts,estimate,ci_low,ci_high
discovery,teb,delay_050,success,20,0.95,0.85,1.0
discovery,teb,delay_050,normalized_path_progress,20,0.9602949140431329,0.891290037482287,0.9960859946571152
discovery,teb,delay_050,collision,20,0.0,0.0,0.0
discovery,teb,delay_050,logical_timeout,20,0.0,0.0,0.0
discovery,teb,delay_050,planner_failure,20,0.05,0.0,0.15
discovery,teb,delay_100,success,20,0.9,0.75,1.0
discovery,teb,delay_100,normalized_path_progress,20,0.9429793695052219,0.8557887242800012,0.9962601336795159
discovery,teb,delay_100,collision,20,0.0,0.0,0.0
discovery,teb,delay_100,logical_timeout,20,0.0,0.0,0.0
discovery,teb,delay_100,planner_failure,20,0.1,0.0,0.25
discovery,teb,delay_200,success,20,0.9,0.75,1.0
discovery,teb,delay_200,normalized_path_progress,20,0.9442977437567663,0.8585997177925163,0.997555667589005
discovery,teb,delay_200,collision,20,0.0,0.0,0.0
discovery,teb,delay_200,logical_timeout,20,0.0,0.0,0.0
discovery,teb,delay_200,planner_failure,20,0.1,0.0,0.25
discovery,teb,e0,success,20,0.95,0.85,1.0
discovery,teb,e0,normalized_path_progress,20,0.9579286791598882,0.8887357248652663,0.9933776125446748
discovery,teb,e0,collision,20,0.0,0.0,0.0
discovery,teb,e0,logical_timeout,20,0.0,0.0,0.0
discovery,teb,e0,planner_failure,20,0.05,0.0,0.15
discovery,teb,tau_w_100,success,20,0.95,0.85,1.0
discovery,teb,tau_w_100,normalized_path_progress,20,0.9579492958148847,0.888370179074593,0.9935959057387088
discovery,teb,tau_w_100,collision,20,0.0,0.0,0.0
discovery,teb,tau_w_100,logical_timeout,20,0.0,0.0,0.0
discovery,teb,tau_w_100,planner_failure,20,0.05,0.0,0.15
discovery,teb,tau_w_300,success,20,0.9,0.75,1.0
discovery,teb,tau_w_300,normalized_path_progress,20,0.9568166956345635,0.8850611101936582,0.9943725257480274
discovery,teb,tau_w_300,collision,20,0.0,0.0,0.0
discovery,teb,tau_w_300,logical_timeout,20,0.05,0.0,0.15
discovery,teb,tau_w_300,planner_failure,20,0.05,0.0,0.15
discovery,teb,tau_x_100,success,20,0.95,0.85,1.0
discovery,teb,tau_x_100,normalized_path_progress,20,0.9587538109049799,0.8898671965529505,0.9942116937114891
discovery,teb,tau_x_100,collision,20,0.0,0.0,0.0
discovery,teb,tau_x_100,logical_timeout,20,0.0,0.0,0.0
discovery,teb,tau_x_100,planner_failure,20,0.05,0.0,0.15
discovery,teb,tau_x_300,success,20,0.95,0.85,1.0
discovery,teb,tau_x_300,normalized_path_progress,20,0.9595235785608056,0.89024484738607,0.9953132586093612
discovery,teb,tau_x_300,collision,20,0.0,0.0,0.0
discovery,teb,tau_x_300,logical_timeout,20,0.0,0.0,0.0
discovery,teb,tau_x_300,planner_failure,20,0.05,0.0,0.15
discovery,teb,tau_y_150,success,20,0.95,0.85,1.0
discovery,teb,tau_y_150,normalized_path_progress,20,0.9586344621303597,0.889530917327429,0.994244690922977
discovery,teb,tau_y_150,collision,20,0.0,0.0,0.0
discovery,teb,tau_y_150,logical_timeout,20,0.0,0.0,0.0
discovery,teb,tau_y_150,planner_failure,20,0.05,0.0,0.15
discovery,teb,tau_y_300,success,20,0.9,0.75,1.0
discovery,teb,tau_y_300,normalized_path_progress,20,0.9404869296548727,0.8547293114302549,0.9929919099816956
discovery,teb,tau_y_300,collision,20,0.05,0.0,0.15
discovery,teb,tau_y_300,logical_timeout,20,0.0,0.0,0.0
discovery,teb,tau_y_300,planner_failure,20,0.05,0.0,0.15
discovery,teb,tau_y_500,success,20,0.85,0.7,1.0
discovery,teb,tau_y_500,normalized_path_progress,20,0.9337253979436714,0.8499778576891257,0.9923578294393043
discovery,teb,tau_y_500,collision,20,0.05,0.0,0.15
discovery,teb,tau_y_500,logical_timeout,20,0.0,0.0,0.0
discovery,teb,tau_y_500,planner_failure,20,0.1,0.0,0.25
