partition,profile_id,metric,contrast,n_layouts,estimate,ci_low,ci_high
discovery,delay_050,success,TEB_minus_TR_profile_minus_E0,20,0.0,0.0,0.0
discovery,delay_050,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,0.002084197772741265,0.0012462970253399627,0.0029085476870235917
discovery,delay_100,success,TEB_minus_TR_profile_minus_E0,20,-0.05,-0.15,0.0
discovery,delay_100,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,-0.01616115909535472,-0.05246593986616983,0.002875696318249203
discovery,delay_200,success,TEB_minus_TR_profile_minus_E0,20,0.0,-0.15,0.15
discovery,delay_200,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,-0.017644465465497382,-0.061543782644248694,0.01966940636657898
discovery,tau_x_100,success,TEB_minus_TR_profile_minus_E0,20,0.0,0.0,0.0
discovery,tau_x_100,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,0.0002083746242175555,-0.0004176364327833733,0.0008719209829623472
discovery,tau_x_300,success,TEB_minus_TR_profile_minus_E0,20,0.0,0.0,0.0
discovery,tau_x_300,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,-0.004274669211176582,-0.0100255250468452,0.0003972662456246532
discovery,tau_y_150,success,TEB_minus_TR_profile_minus_E0,20,0.05,0.0,0.15
discovery,tau_y_150,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,0.040429909183786895,-0.0001247761316886198,0.12025180049007082
discovery,tau_y_300,success,TEB_minus_TR_profile_minus_E0,20,0.0,-0.15,0.15
discovery,tau_y_300,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,-0.01710619580248742,-0.052107203464083034,0.0014697559584807471
discovery,tau_y_500,success,TEB_minus_TR_profile_minus_E0,20,-0.1,-0.25,0.0
discovery,tau_y_500,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,-0.024299204859133647,-0.06513210629583993,0.0016408712076883209
discovery,tau_w_100,success,TEB_minus_TR_profile_minus_E0,20,0.05,0.0,0.15
discovery,tau_w_100,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,0.03675086424165526,-0.000722496090757412,0.11041291382875136
discovery,tau_w_300,success,TEB_minus_TR_profile_minus_E0,20,0.0,-0.15,0.15
discovery,tau_w_300,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,0.037981631304907226,-0.0063084914184853855,0.12026770873279365
holdout,delay_050,success,TEB_minus_TR_profile_minus_E0,20,0.0,-0.2,0.2
holdout,delay_050,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,0.012199117921871488,-0.12806839934203304,0.1533022014375146
holdout,delay_100,success,TEB_minus_TR_profile_minus_E0,20,0.0,-0.15,0.15
holdout,delay_100,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,-0.029977233684955445,-0.1473618707929838,0.07450500958704406
holdout,delay_200,success,TEB_minus_TR_profile_minus_E0,20,-0.1,-0.4,0.15
holdout,delay_200,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,-0.06719292125622156,-0.22663065733444623,0.07006519491874795
holdout,tau_x_100,success,TEB_minus_TR_profile_minus_E0,20,0.05,0.0,0.15
holdout,tau_x_100,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,0.04167754190468613,-0.004990138997911069,0.129496417203293
holdout,tau_x_300,success,TEB_minus_TR_profile_minus_E0,20,-0.05,-0.2,0.1
holdout,tau_x_300,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,-0.034554886948260866,-0.1541596434357662,0.07538939661210767
holdout,tau_y_150,success,TEB_minus_TR_profile_minus_E0,20,-0.05,-0.15,0.0
holdout,tau_y_150,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,-0.02106277715365689,-0.06778257014324066,0.0036884619442585044
holdout,tau_y_300,success,TEB_minus_TR_profile_minus_E0,20,0.05,-0.1,0.2
holdout,tau_y_300,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,0.06528293744607191,-0.03803488845427492,0.20516489464343324
holdout,tau_y_500,success,TEB_minus_TR_profile_minus_E0,20,0.0,-0.25,0.25
holdout,tau_y_500,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,0.03535135413696387,-0.10091804453330068,0.19287578383762952
holdout,tau_w_100,success,TEB_minus_TR_profile_minus_E0,20,0.05,0.0,0.15
holdout,tau_w_100,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,0.043259376979642924,-0.000459645627383033,0.12906891274048396
holdout,tau_w_300,success,TEB_minus_TR_profile_minus_E0,20,0.0,-0.15,0.15
holdout,tau_w_300,normalized_path_progress,TEB_minus_TR_profile_minus_E0,20,-0.021894527580597255,-0.06818426351518117,0.0026101874202749003
