partition,planner,profile_id,metric,contrast,n_layouts,estimate,ci_low,ci_high
discovery,tr,delay_050,success,profile_minus_e0,20,0.0,0.0,0.0
discovery,tr,delay_050,normalized_path_progress,profile_minus_e0,20,0.00028203711050318257,-0.00027408677144485195,0.0007744566084933433
discovery,tr,delay_100,success,profile_minus_e0,20,0.0,0.0,0.0
discovery,tr,delay_100,normalized_path_progress,profile_minus_e0,20,0.0012118494406878455,0.0004489672812196236,0.002207962291400363
discovery,tr,delay_200,success,profile_minus_e0,20,-0.05,-0.15,0.0
discovery,tr,delay_200,normalized_path_progress,profile_minus_e0,20,0.0040135300623752425,-0.02364730959831491,0.029134180591604365
discovery,tr,tau_x_100,success,profile_minus_e0,20,0.0,0.0,0.0
discovery,tr,tau_x_100,normalized_path_progress,profile_minus_e0,20,0.0006167571208737122,0.00015681967169944942,0.001078806161443561
discovery,tr,tau_x_300,success,profile_minus_e0,20,0.0,0.0,0.0
discovery,tr,tau_x_300,normalized_path_progress,profile_minus_e0,20,0.005869568612093592,0.0013870440071277674,0.011358880892209697
discovery,tr,tau_y_150,success,profile_minus_e0,20,-0.05,-0.15,0.0
discovery,tr,tau_y_150,normalized_path_progress,profile_minus_e0,20,-0.03972412621331598,-0.11912777835417922,0.00016019031163632335
discovery,tr,tau_y_300,success,profile_minus_e0,20,-0.05,-0.15,0.0
discovery,tr,tau_y_300,normalized_path_progress,profile_minus_e0,20,-0.0003355537025281949,-0.0015577704249761658,0.0004939067212954594
discovery,tr,tau_y_500,success,profile_minus_e0,20,0.0,0.0,0.0
discovery,tr,tau_y_500,normalized_path_progress,profile_minus_e0,20,9.592364291654137e-05,-0.00103964834520022,0.000890483565302555
discovery,tr,tau_w_100,success,profile_minus_e0,20,-0.05,-0.15,0.0
discovery,tr,tau_w_100,normalized_path_progress,profile_minus_e0,20,-0.036730247586659034,-0.11046679468298043,0.0005186170256832052
discovery,tr,tau_w_300,success,profile_minus_e0,20,-0.05,-0.15,0.0
discovery,tr,tau_w_300,normalized_path_progress,profile_minus_e0,20,-0.0390936148302322,-0.11881292110619274,0.00137833341965751
discovery,teb,delay_050,success,profile_minus_e0,20,0.0,0.0,0.0
discovery,teb,delay_050,normalized_path_progress,profile_minus_e0,20,0.0023662348832444472,0.001470541983975047,0.0033113659323560658
discovery,teb,delay_100,success,profile_minus_e0,20,-0.05,-0.15,0.0
discovery,teb,delay_100,normalized_path_progress,profile_minus_e0,20,-0.014949309654666874,-0.05076538743743154,0.0038405146141383783
discovery,teb,delay_200,success,profile_minus_e0,20,-0.05,-0.15,0.0
discovery,teb,delay_200,normalized_path_progress,profile_minus_e0,20,-0.013630935403122138,-0.049419515649786146,0.0052945331397475145
discovery,teb,tau_x_100,success,profile_minus_e0,20,0.0,0.0,0.0
discovery,teb,tau_x_100,normalized_path_progress,profile_minus_e0,20,0.0008251317450912677,0.0003621347455265696,0.001311203193445848
discovery,teb,tau_x_300,success,profile_minus_e0,20,0.0,0.0,0.0
discovery,teb,tau_x_300,normalized_path_progress,profile_minus_e0,20,0.0015948994009170104,0.0011084744143326974,0.0021331448398926047
discovery,teb,tau_y_150,success,profile_minus_e0,20,0.0,0.0,0.0
discovery,teb,tau_y_150,normalized_path_progress,profile_minus_e0,20,0.0007057829704709168,-0.0005535101713985802,0.001930557064823186
discovery,teb,tau_y_300,success,profile_minus_e0,20,-0.05,-0.15,0.0
discovery,teb,tau_y_300,normalized_path_progress,profile_minus_e0,20,-0.017441749505015616,-0.05246414949480294,0.0009189158886482586
discovery,teb,tau_y_500,success,profile_minus_e0,20,-0.1,-0.25,0.0
discovery,teb,tau_y_500,normalized_path_progress,profile_minus_e0,20,-0.024203281216217103,-0.06414609131698894,0.001516968969083099
discovery,teb,tau_w_100,success,profile_minus_e0,20,0.0,0.0,0.0
discovery,teb,tau_w_100,normalized_path_progress,profile_minus_e0,20,2.0616654996227778e-05,-0.000929735602882484,0.000986709834278414
discovery,teb,tau_w_300,success,profile_minus_e0,20,-0.05,-0.15,0.0
discovery,teb,tau_w_300,normalized_path_progress,profile_minus_e0,20,-0.001111983525324986,-0.006934385549076832,0.002381157193408391
holdout,tr,delay_050,success,profile_minus_e0,20,0.0,-0.15,0.15
holdout,tr,delay_050,normalized_path_progress,profile_minus_e0,20,0.00017185742356480433,-0.1263848837941666,0.12546768588480797
holdout,tr,delay_100,success,profile_minus_e0,20,0.05,0.0,0.15
holdout,tr,delay_100,normalized_path_progress,profile_minus_e0,20,0.06513540523203587,0.0007933414920335882,0.16807038018856862
holdout,tr,delay_200,success,profile_minus_e0,20,0.0,-0.2,0.2
holdout,tr,delay_200,normalized_path_progress,profile_minus_e0,20,0.021280755230070843,-0.09024548683328801,0.14428495115031903
