schedule_index,episode_id,partition,layout_id,planner,profile_id,lock_hash,valid,success,reason,raw_reason,collision,planner_failures,planner_calls,execution_steps,final_xy_error,final_yaw_error,final_time,capped_time_to_termination,path_length,min_clearance,compute_mean,compute_max,time_contract,feedback_contract,command_hold_contract,collision_truth_contract,normalized_path_progress
8,holdout__holdout_05__tr__tau_w_100,holdout,holdout_05,tr,tau_w_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,291,1455,0.07580806700383873,0.09974057266859118,14.549999999999734,14.549999999999734,5.095159815819755,0.03845528177185153,0.00777488473883162,0.012318884,true,true,true,true,0.9868696990129595
3,discovery__discovery_09__tr__tau_y_150,discovery,discovery_09,tr,tau_y_150,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,252,1260,0.0767559207222734,0.09932187423968726,12.599999999999776,12.599999999999776,4.9422571855399395,0.03908521745472615,0.008938045365079363,0.015523003,true,true,true,true,0.9860244773787183
1,holdout__holdout_20__tr__tau_w_300,holdout,holdout_20,tr,tau_w_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,239,1194,0.0797395213056539,0.09558540785962936,11.93999999999979,11.93999999999979,4.890109156912861,0.07891289560606538,0.009670787343096237,0.020430878,true,true,true,true,0.9850279187028389
11,holdout__holdout_02__tr__delay_100,holdout,holdout_02,tr,delay_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,290,1446,0.0693106881147842,0.09902733148415799,14.459999999999736,14.459999999999736,4.998582363608128,0.16855587752612333,0.00817067241379311,0.015096096,true,true,true,true,0.9868124028341021
7,discovery__discovery_02__teb__tau_x_300,discovery,discovery_02,teb,tau_x_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,264,1316,0.07738475416632394,0.0237195016025615,13.159999999999764,13.159999999999764,5.493212460595817,0.10562051827548659,0.012477882465909099,0.037651316,true,true,true,true,0.9878401611283598
4,holdout__holdout_07__teb__delay_050,holdout,holdout_07,teb,delay_050,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,289,1442,0.07777975398758225,0.07056366036311183,14.419999999999737,14.419999999999737,5.827233253591328,0.16785394404824372,0.011785831712802765,0.027414378,true,true,true,true,0.9892272450018069
10,discovery__discovery_20__tr__tau_x_300,discovery,discovery_20,tr,tau_x_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,logical_timeout,duration,false,0,600,3000,4.484652055628319,0.6502963642245395,30.00000000000189,30.00000000000189,0.6384191507307437,0.47276009246140455,0.00572884929833334,0.019288557,true,true,true,true,0.07027530301454052
5,holdout__holdout_15__tr__tau_w_100,holdout,holdout_15,tr,tau_w_100,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,logical_timeout,duration,false,0,600,3000,4.356742295589624,0.10802267304343029,30.00000000000189,30.00000000000189,0.9111393587828284,0.24894238144781689,0.007287866423333332,0.021657824,true,true,true,true,0.1562619794122766
6,discovery__discovery_17__tr__tau_y_150,discovery,discovery_17,tr,tau_y_150,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,logical_timeout,duration,false,0,600,3000,4.249993746798007,0.7634675482288347,30.00000000000189,30.00000000000189,0.7971630635444352,0.5291693214085571,0.006687672128333328,0.034557485,true,true,true,true,0.13148128028502445
2,discovery__discovery_01__tr__tau_x_300,discovery,discovery_01,tr,tau_x_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,logical_timeout,duration,false,0,600,3000,4.59586065325362,0.1285693959100288,30.00000000000189,30.00000000000189,0.5608759210253356,0.2342180394021114,0.007078178571666669,0.032641515,true,true,true,true,0.08396941457226752
9,holdout__holdout_19__tr__delay_200,holdout,holdout_19,tr,delay_200,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,false,logical_timeout,duration,false,0,600,3000,4.37076790896614,0.7379967911168831,30.00000000000189,30.00000000000189,0.7974315035033063,0.8082591255005447,0.00683243327833333,0.039668002,true,true,true,true,0.12284235970206456
12,holdout__holdout_08__teb__tau_w_300,holdout,holdout_08,teb,tau_w_300,355a6b600b50409b680ffb0e06ee53d75e1a915fb3142bddfb3a3a3180f9c8d5,true,true,external_tolerance,external_tolerance,false,0,481,2402,0.023959074689575297,0.09479684881407738,24.020000000000955,24.020000000000955,6.2316230831941395,0.14997348619895698,0.01338141496465697,0.028062176,true,true,true,true,0.9963382803128059
