partition,profile_id,metric,n_layouts,preference_change_rate,preference_change_ci_low,preference_change_ci_high,strict_reversal_rate,strict_reversal_ci_low,strict_reversal_ci_high,aggregate_teb_minus_tr_e0,aggregate_teb_minus_tr_profile,aggregate_preference_e0,aggregate_preference_profile,aggregate_preference_flip,tr_to_tr,tr_to_tie,tr_to_teb,tie_to_tr,tie_to_tie,tie_to_teb,teb_to_tr,teb_to_tie,teb_to_teb
discovery,delay_050,success,20,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,teb,teb,false,1,0,0,0,12,0,0,0,7
discovery,delay_050,normalized_path_progress,20,0.05,0.0,0.15,0.05,0.0,0.15,0.26379417560393514,0.2658783733766764,teb,teb,false,2,0,1,0,0,0,0,0,17
discovery,delay_100,success,20,0.05,0.0,0.15,0.0,0.0,0.0,0.3,0.25,teb,teb,false,1,0,0,0,12,0,0,1,6
discovery,delay_100,normalized_path_progress,20,0.05,0.0,0.15,0.05,0.0,0.15,0.26379417560393514,0.24763301650858044,teb,teb,false,3,0,0,0,0,0,1,0,16
discovery,delay_200,success,20,0.1,0.0,0.25,0.0,0.0,0.0,0.3,0.3,teb,teb,false,1,0,0,0,11,1,0,1,6
discovery,delay_200,normalized_path_progress,20,0.3,0.1,0.5,0.25,0.1,0.45,0.26379417560393514,0.24614971013843784,teb,teb,false,2,0,1,0,0,0,4,1,12
discovery,tau_x_100,success,20,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,teb,teb,false,1,0,0,0,12,0,0,0,7
discovery,tau_x_100,normalized_path_progress,20,0.0,0.0,0.0,0.0,0.0,0.0,0.26379417560393514,0.2640025502281528,teb,teb,false,3,0,0,0,0,0,0,0,17
discovery,tau_x_300,success,20,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,teb,teb,false,1,0,0,0,12,0,0,0,7
discovery,tau_x_300,normalized_path_progress,20,0.15,0.0,0.3,0.15,0.0,0.3,0.26379417560393514,0.2595195063927586,teb,teb,false,3,0,0,0,0,0,3,0,14
discovery,tau_y_150,success,20,0.05,0.0,0.15,0.0,0.0,0.0,0.3,0.35,teb,teb,false,1,0,0,0,11,1,0,0,7
discovery,tau_y_150,normalized_path_progress,20,0.05,0.0,0.15,0.05,0.0,0.15,0.26379417560393514,0.30422408478772206,teb,teb,false,2,0,1,0,0,0,0,0,17
discovery,tau_y_300,success,20,0.1,0.0,0.25,0.0,0.0,0.0,0.3,0.3,teb,teb,false,1,0,0,0,11,1,0,1,6
discovery,tau_y_300,normalized_path_progress,20,0.05,0.0,0.15,0.05,0.0,0.15,0.26379417560393514,0.2466879798014478,teb,teb,false,2,0,1,0,0,0,0,0,17
