partition,planner,profile_id,layout_id,e0_success,profile_success,outcome_flip,flip_direction,e0_terminal_mode,profile_terminal_mode,terminal_mode_changed,e0_failure_member,profile_failure_member,e0_normalized_path_progress,profile_normalized_path_progress
discovery,tr,delay_050,discovery_01,false,false,false,unchanged,timeout,timeout,false,true,true,0.08422227753580448,0.0841068893475974
discovery,tr,delay_050,discovery_02,false,false,false,unchanged,timeout,timeout,false,true,true,0.09138151200859551,0.09326740509075974
discovery,tr,delay_050,discovery_03,true,true,false,unchanged,success,success,false,false,false,0.9867836350020863,0.9877441276344568
discovery,tr,delay_050,discovery_04,false,false,false,unchanged,timeout,timeout,false,true,true,0.19269070634342775,0.19151693742644552
discovery,tr,delay_050,discovery_05,true,true,false,unchanged,success,success,false,false,false,0.9868090459544234,0.9878513392032514
discovery,tr,delay_050,discovery_06,true,true,false,unchanged,success,success,false,false,false,0.9858753135373112,0.9872285550493154
discovery,tr,delay_050,discovery_07,true,true,false,unchanged,success,success,false,false,false,0.9887736344857319,0.9893528456963421
discovery,tr,delay_050,discovery_08,true,true,false,unchanged,success,success,false,false,false,0.9881466868238679,0.9883764966787775
discovery,tr,delay_050,discovery_09,true,true,false,unchanged,success,success,false,false,false,0.9862363124824662,0.9860889990215076
discovery,tr,delay_050,discovery_10,true,true,false,unchanged,success,success,false,false,false,0.9876800206385611,0.9874591941256188
discovery,tr,delay_050,discovery_11,true,true,false,unchanged,success,success,false,false,false,0.9856020682701144,0.98688637841429
discovery,tr,delay_050,discovery_12,false,false,false,unchanged,timeout,timeout,false,true,true,0.11314474284060005,0.10978814783911998
discovery,tr,delay_050,discovery_13,true,true,false,unchanged,success,success,false,false,false,0.9882647861567073,0.9878031029169889
discovery,tr,delay_050,discovery_14,false,false,false,unchanged,timeout,timeout,false,true,true,0.36949138100561635,0.3687982242540175
discovery,tr,delay_050,discovery_15,true,true,false,unchanged,success,success,false,false,false,0.9858651232190409,0.9871005337863922
discovery,tr,delay_050,discovery_16,true,true,false,unchanged,success,success,false,false,false,0.9881657683837658,0.9880546638950742
discovery,tr,delay_050,discovery_17,false,false,false,unchanged,timeout,timeout,false,true,true,0.13136268739568363,0.1316167152242109
discovery,tr,delay_050,discovery_18,true,true,false,unchanged,success,success,false,false,false,0.9850675012968353,0.9872647105917287
discovery,tr,delay_050,discovery_19,true,true,false,unchanged,success,success,false,false,false,0.9853109222144004,0.9862018841041353
discovery,tr,delay_050,discovery_20,false,false,false,unchanged,timeout,timeout,false,true,true,0.07181594552402612,0.07182366302909958
discovery,tr,delay_100,discovery_01,false,false,false,unchanged,timeout,timeout,false,true,true,0.08422227753580448,0.08326013857859343
discovery,tr,delay_100,discovery_02,false,false,false,unchanged,timeout,timeout,false,true,true,0.09138151200859551,0.09169567296907032
discovery,tr,delay_100,discovery_03,true,true,false,unchanged,success,success,false,false,false,0.9867836350020863,0.9875880072211491
discovery,tr,delay_100,discovery_04,false,false,false,unchanged,timeout,timeout,false,true,true,0.19269070634342775,0.19139057814807978
discovery,tr,delay_100,discovery_05,true,true,false,unchanged,success,success,false,false,false,0.9868090459544234,0.9897618020793275
discovery,tr,delay_100,discovery_06,true,true,false,unchanged,success,success,false,false,false,0.9858753135373112,0.9862576031168176
discovery,tr,delay_100,discovery_07,true,true,false,unchanged,success,success,false,false,false,0.9887736344857319,0.990281592914445
discovery,tr,delay_100,discovery_08,true,true,false,unchanged,success,success,false,false,false,0.9881466868238679,0.9888612097315477
discovery,tr,delay_100,discovery_09,true,true,false,unchanged,success,success,false,false,false,0.9862363124824662,0.9877942459182396
discovery,tr,delay_100,discovery_10,true,true,false,unchanged,success,success,false,false,false,0.9876800206385611,0.996193598845733
discovery,tr,delay_100,discovery_11,true,true,false,unchanged,success,success,false,false,false,0.9856020682701144,0.9871737007347448
discovery,tr,delay_100,discovery_12,false,false,false,unchanged,timeout,timeout,false,true,true,0.11314474284060005,0.11378254543329964
discovery,tr,delay_100,discovery_13,true,true,false,unchanged,success,success,false,false,false,0.9882647861567073,0.9903846749975874
discovery,tr,delay_100,discovery_14,false,false,false,unchanged,timeout,timeout,false,true,true,0.36949138100561635,0.3692929020740516
discovery,tr,delay_100,discovery_15,true,true,false,unchanged,success,success,false,false,false,0.9858651232190409,0.986584381880987
discovery,tr,delay_100,discovery_16,true,true,false,unchanged,success,success,false,false,false,0.9881657683837658,0.9889530151593283
discovery,tr,delay_100,discovery_17,false,false,false,unchanged,timeout,timeout,false,true,true,0.13136268739568363,0.13316702514915074
discovery,tr,delay_100,discovery_18,true,true,false,unchanged,success,success,false,false,false,0.9850675012968353,0.9873669880565055
discovery,tr,delay_100,discovery_19,true,true,false,unchanged,success,success,false,false,false,0.9853109222144004,0.9865264983597587
discovery,tr,delay_100,discovery_20,false,false,false,unchanged,timeout,timeout,false,true,true,0.07181594552402612,0.07061087856440622
discovery,tr,delay_200,discovery_01,false,false,false,unchanged,timeout,timeout,false,true,true,0.08422227753580448,0.0839778570889928
discovery,tr,delay_200,discovery_02,false,false,false,unchanged,timeout,timeout,false,true,true,0.09138151200859551,0.09154581802754139
discovery,tr,delay_200,discovery_03,true,true,false,unchanged,success,success,false,false,false,0.9867836350020863,0.9958276487334442
discovery,tr,delay_200,discovery_04,false,false,false,unchanged,timeout,timeout,false,true,true,0.19269070634342775,0.19181162460668424
