partition,planner,profile_id,n_layouts,e0_success_rate,profile_success_rate,success_rate_delta,outcome_flip_rate,outcome_flip_ci_low,outcome_flip_ci_high,outcome_agreement_rate,outcome_agreement_ci_low,outcome_agreement_ci_high,success_to_failure_count,failure_to_success_count,failure_n_e0,failure_n_profile,failure_intersection_n,failure_union_n,failure_jaccard,failure_jaccard_ci_low,failure_jaccard_ci_high,terminal_mode_agreement_rate,hidden_churn_flag,high_stability_flag
discovery,tr,delay_050,20,0.65,0.65,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,7,7,7,7,1.0,1.0,1.0,1.0,false,true
discovery,tr,delay_100,20,0.65,0.65,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,7,7,7,7,1.0,1.0,1.0,1.0,false,true
discovery,tr,delay_200,20,0.65,0.6,-0.050000000000000044,0.05,0.0,0.15,0.95,0.85,1.0,1,0,7,8,7,8,0.875,0.6,1.0,0.9,false,false
discovery,tr,tau_x_100,20,0.65,0.65,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,7,7,7,7,1.0,1.0,1.0,1.0,false,true
discovery,tr,tau_x_300,20,0.65,0.65,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,7,7,7,7,1.0,1.0,1.0,1.0,false,true
discovery,tr,tau_y_150,20,0.65,0.6,-0.050000000000000044,0.05,0.0,0.15,0.95,0.85,1.0,1,0,7,8,7,8,0.875,0.6,1.0,0.95,false,false
discovery,tr,tau_y_300,20,0.65,0.6,-0.050000000000000044,0.05,0.0,0.15,0.95,0.85,1.0,1,0,7,8,7,8,0.875,0.6,1.0,0.95,false,false
discovery,tr,tau_y_500,20,0.65,0.65,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,7,7,7,7,1.0,1.0,1.0,1.0,false,true
discovery,tr,tau_w_100,20,0.65,0.6,-0.050000000000000044,0.05,0.0,0.15,0.95,0.85,1.0,1,0,7,8,7,8,0.875,0.6,1.0,0.95,false,false
discovery,tr,tau_w_300,20,0.65,0.6,-0.050000000000000044,0.05,0.0,0.15,0.95,0.85,1.0,1,0,7,8,7,8,0.875,0.6,1.0,0.95,false,false
discovery,teb,delay_050,20,0.95,0.95,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,false,true
discovery,teb,delay_100,20,0.95,0.9,-0.04999999999999993,0.05,0.0,0.15,0.95,0.85,1.0,1,0,1,2,1,2,0.5,0.0,1.0,0.95,false,false
discovery,teb,delay_200,20,0.95,0.9,-0.04999999999999993,0.05,0.0,0.15,0.95,0.85,1.0,1,0,1,2,1,2,0.5,0.0,1.0,0.95,false,false
discovery,teb,tau_x_100,20,0.95,0.95,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,false,true
discovery,teb,tau_x_300,20,0.95,0.95,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,false,true
discovery,teb,tau_y_150,20,0.95,0.95,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,false,true
discovery,teb,tau_y_300,20,0.95,0.9,-0.04999999999999993,0.05,0.0,0.15,0.95,0.85,1.0,1,0,1,2,1,2,0.5,0.0,1.0,0.95,false,false
discovery,teb,tau_y_500,20,0.95,0.85,-0.09999999999999998,0.1,0.0,0.25,0.9,0.75,1.0,2,0,1,3,1,3,0.3333333333333333,0.0,1.0,0.9,false,false
discovery,teb,tau_w_100,20,0.95,0.95,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,false,true
discovery,teb,tau_w_300,20,0.95,0.9,-0.04999999999999993,0.05,0.0,0.15,0.95,0.85,1.0,1,0,1,2,1,2,0.5,0.0,1.0,0.95,false,false
holdout,tr,delay_050,20,0.6,0.6,0.0,0.1,0.0,0.25,0.9,0.75,1.0,1,1,8,8,7,9,0.7777777777777778,0.5,1.0,0.9,false,false
holdout,tr,delay_100,20,0.6,0.65,0.050000000000000044,0.05,0.0,0.15,0.95,0.85,1.0,0,1,8,7,7,8,0.875,0.6,1.0,0.95,false,false
holdout,tr,delay_200,20,0.6,0.6,0.0,0.2,0.05,0.4,0.8,0.6,0.95,2,2,8,8,6,10,0.6,0.2857142857142857,0.9,0.8,true,false
holdout,tr,tau_x_100,20,0.6,0.55,-0.04999999999999993,0.05,0.0,0.15,0.95,0.85,1.0,1,0,8,9,8,9,0.8888888888888888,0.6363636363636364,1.0,0.95,false,false
