partition,planner,profile_id,e0_terminal_mode,profile_terminal_mode,count,rate_total,e0_source_count,rate_from_e0_mode
discovery,tr,delay_050,success,success,13,0.65,13,1.0
discovery,tr,delay_050,success,collision,0,0.0,13,0.0
discovery,tr,delay_050,success,planner_failure,0,0.0,13,0.0
discovery,tr,delay_050,success,timeout,0,0.0,13,0.0
discovery,tr,delay_050,collision,success,0,0.0,0,
discovery,tr,delay_050,collision,collision,0,0.0,0,
discovery,tr,delay_050,collision,planner_failure,0,0.0,0,
discovery,tr,delay_050,collision,timeout,0,0.0,0,
discovery,tr,delay_050,planner_failure,success,0,0.0,0,
discovery,tr,delay_050,planner_failure,collision,0,0.0,0,
discovery,tr,delay_050,planner_failure,planner_failure,0,0.0,0,
discovery,tr,delay_050,planner_failure,timeout,0,0.0,0,
discovery,tr,delay_050,timeout,success,0,0.0,7,0.0
discovery,tr,delay_050,timeout,collision,0,0.0,7,0.0
discovery,tr,delay_050,timeout,planner_failure,0,0.0,7,0.0
discovery,tr,delay_050,timeout,timeout,7,0.35,7,1.0
discovery,tr,delay_100,success,success,13,0.65,13,1.0
discovery,tr,delay_100,success,collision,0,0.0,13,0.0
discovery,tr,delay_100,success,planner_failure,0,0.0,13,0.0
discovery,tr,delay_100,success,timeout,0,0.0,13,0.0
discovery,tr,delay_100,collision,success,0,0.0,0,
discovery,tr,delay_100,collision,collision,0,0.0,0,
discovery,tr,delay_100,collision,planner_failure,0,0.0,0,
discovery,tr,delay_100,collision,timeout,0,0.0,0,
discovery,tr,delay_100,planner_failure,success,0,0.0,0,
discovery,tr,delay_100,planner_failure,collision,0,0.0,0,
discovery,tr,delay_100,planner_failure,planner_failure,0,0.0,0,
discovery,tr,delay_100,planner_failure,timeout,0,0.0,0,
discovery,tr,delay_100,timeout,success,0,0.0,7,0.0
discovery,tr,delay_100,timeout,collision,0,0.0,7,0.0
discovery,tr,delay_100,timeout,planner_failure,0,0.0,7,0.0
discovery,tr,delay_100,timeout,timeout,7,0.35,7,1.0
discovery,tr,delay_200,success,success,12,0.6,13,0.9230769230769231
discovery,tr,delay_200,success,collision,1,0.05,13,0.07692307692307693
discovery,tr,delay_200,success,planner_failure,0,0.0,13,0.0
discovery,tr,delay_200,success,timeout,0,0.0,13,0.0
discovery,tr,delay_200,collision,success,0,0.0,0,
discovery,tr,delay_200,collision,collision,0,0.0,0,
discovery,tr,delay_200,collision,planner_failure,0,0.0,0,
discovery,tr,delay_200,collision,timeout,0,0.0,0,
discovery,tr,delay_200,planner_failure,success,0,0.0,0,
discovery,tr,delay_200,planner_failure,collision,0,0.0,0,
discovery,tr,delay_200,planner_failure,planner_failure,0,0.0,0,
discovery,tr,delay_200,planner_failure,timeout,0,0.0,0,
discovery,tr,delay_200,timeout,success,0,0.0,7,0.0
discovery,tr,delay_200,timeout,collision,1,0.05,7,0.14285714285714285
discovery,tr,delay_200,timeout,planner_failure,0,0.0,7,0.0
discovery,tr,delay_200,timeout,timeout,6,0.3,7,0.8571428571428571
discovery,tr,tau_x_100,success,success,13,0.65,13,1.0
discovery,tr,tau_x_100,success,collision,0,0.0,13,0.0
discovery,tr,tau_x_100,success,planner_failure,0,0.0,13,0.0
discovery,tr,tau_x_100,success,timeout,0,0.0,13,0.0
discovery,tr,tau_x_100,collision,success,0,0.0,0,
discovery,tr,tau_x_100,collision,collision,0,0.0,0,
discovery,tr,tau_x_100,collision,planner_failure,0,0.0,0,
discovery,tr,tau_x_100,collision,timeout,0,0.0,0,
discovery,tr,tau_x_100,planner_failure,success,0,0.0,0,
discovery,tr,tau_x_100,planner_failure,collision,0,0.0,0,
discovery,tr,tau_x_100,planner_failure,planner_failure,0,0.0,0,
discovery,tr,tau_x_100,planner_failure,timeout,0,0.0,0,
discovery,tr,tau_x_100,timeout,success,0,0.0,7,0.0
discovery,tr,tau_x_100,timeout,collision,0,0.0,7,0.0
discovery,tr,tau_x_100,timeout,planner_failure,0,0.0,7,0.0
discovery,tr,tau_x_100,timeout,timeout,7,0.35,7,1.0
discovery,tr,tau_x_300,success,success,13,0.65,13,1.0
discovery,tr,tau_x_300,success,collision,0,0.0,13,0.0
discovery,tr,tau_x_300,success,planner_failure,0,0.0,13,0.0
discovery,tr,tau_x_300,success,timeout,0,0.0,13,0.0
discovery,tr,tau_x_300,collision,success,0,0.0,0,
discovery,tr,tau_x_300,collision,collision,0,0.0,0,
discovery,tr,tau_x_300,collision,planner_failure,0,0.0,0,
discovery,tr,tau_x_300,collision,timeout,0,0.0,0,
discovery,tr,tau_x_300,planner_failure,success,0,0.0,0,
